rva	name	conf	size	n_callers	n_orphan_sites	best_caller	all_callers	orphan_sites	verdict
0x004b6b00	FUN_004b6b00	C2	3	0	7	-	-	004b6cb4;004b6d67;004b6ddc;004b6eb3	ORPHAN_BLOCK_CALLERS
0x0049c6d0	FUN_0049c6d0	C2	10	19	0	0x005ca340(C1)	005ca340:C1;005ca360:C1;005ca368:C1;005ca380:C1;005ca450:C1;005ca430:C1;005ca470:C1;005ca478:C1;005ca490:C1;005ca498:C1;005ca4a0:C1;005ca4a8:C1;005ca4c0:C1;005ca4c8:C1;005ca4e0:C1;005ca500:C1;005ca560:C1;005ca600:C1;005ca620:C1	-	GATE_FAIL_CALLERS_C1
0x00454c00	FUN_00454c00	C2	12	0	1	-	-	00454e60	ORPHAN_BLOCK_CALLERS
0x00407580	FUN_00407580	C2	17	0	1	-	-	00458960	ORPHAN_BLOCK_CALLERS
0x004af31a	LAB_004af31a	C2	19	0	0	-	-	-	NO_CALLERS_FOUND
0x005aaff0	FUN_005aaff0	C2	21	0	1	-	-	005aafd0	ORPHAN_BLOCK_CALLERS
0x00456ce0	FUN_00456ce0	C2	21	0	1	-	-	00456d42	ORPHAN_BLOCK_CALLERS
0x00471430	FUN_00471430	C2	22	0	1	-	-	0047b3dd	ORPHAN_BLOCK_CALLERS
0x0049d0a0	FUN_0049d0a0	C2	23	0	2	-	-	0049d78f;0049d8ce	ORPHAN_BLOCK_CALLERS
0x004921b0	FUN_004921b0	C2	25	0	1	-	-	00449070	ORPHAN_BLOCK_CALLERS
0x0049c770	FUN_0049c770	C2	26	0	0	-	-	-	NO_CALLERS_FOUND
0x0047cde0	FUN_0047cde0	C2	27	0	1	-	-	00453e47	ORPHAN_BLOCK_CALLERS
0x0047ce20	FUN_0047ce20	C2	27	0	1	-	-	0045643b	ORPHAN_BLOCK_CALLERS
0x00456d00	FUN_00456d00	C2	28	0	2	-	-	00456d29;0045777a	ORPHAN_BLOCK_CALLERS
0x0049c750	FUN_0049c750	C2	28	0	0	-	-	-	NO_CALLERS_FOUND
