rva	name	conf	size	best_caller	harness_safety	brief_verdict	brief
0x00485380	FUN_00485380	C2	41	0x00485420(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b11.md
0x0045dfc0	FUN_0045dfc0	C2	46	0x00466b50(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b12.md
0x00482900	FUN_00482900	C2	48	0x004113b0(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b12.md
0x0041f1e0	FUN_0041f1e0	C2	51	0x00412f30(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b13.md
0x00485420	FUN_00485420	C2	59	0x004694e0(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b13.md
0x00413f50	FUN_00413f50	C2	64	0x0040bde0(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b14.md
0x00418de0	FUN_00418de0	C2	73	0x00418e30(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b14.md
0x004391b0	FUN_004391b0	C2	88	0x00439210(C4)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b15.md
0x00422470	FUN_00422470	C2	94	0x0041f770(C2)	CALLS_UNKNOWN	NEEDS_GHIDRA	re/orchestrator/read_fleet/runs/iter12_gate/gate_b15.md
0x00495110	FUN_00495110	C2	11	0x00492770(C4)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b1.md
0x0049a730	FUN_0049a730	C2	16	0x0049a0e0(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b2.md
0x004039c0	FUN_004039c0	C2	23	0x0045bae0(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b3.md
0x004cfe20	FUN_004cfe20	C2	25	0x004c7a70(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b3.md
0x0045c820	FUN_0045c820	C2	34	0x0045cd30(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b6.md
0x004c40b0	FUN_004c40b0	C2	35	0x004c7a70(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b6.md
0x0048bbe0	FUN_0048bbe0	C2	36	0x0040bbb0(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b8.md
0x0049ff30	FUN_0049ff30	C2	37	0x0049cd70(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b8.md
0x0048fce0	FUN_0048fce0	C2	39	0x0040bde0(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b9.md
0x0048fd10	FUN_0048fd10	C2	39	0x0040bde0(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b10.md
0x0045d430	FUN_0045d430	C2	39	0x004926c0(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b10.md
0x0048f740	FUN_0048f740	C2	39	0x0040bd80(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b10.md
0x00534920	FUN_00534920	C2	40	0x00493640(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b11.md
0x0041c090	FUN_0041c090	C2	46	0x0040fc00(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b12.md
0x005571e0	FontSys_InitFontPool	C2	49	0x00552b60(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b13.md
0x0041b4d0	FUN_0041b4d0	C2	50	0x004111c0(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b13.md
0x00494a80	sub_00494a80	C2	55	0x00495350(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b13.md
0x0041d830	FUN_0041d830	C2	59	0x0040fc00(C2)	WRITES_GLOBAL	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter12_gate/gate_b14.md
