row,ppx,ppy,ppz,pdx,pdy,pdz,pzoom,pvw,ppairA,ppairB,mode,reset
191,0.411636,3.401352,5.122476,-0.122720,0.486019,-1.430353,2.749640,0.600000,0,3,0,0
192,0.411189,3.400420,5.121469,-0.122720,0.486019,-1.430476,2.749640,0.600000,0,3,0,0
193,0.410627,3.399265,5.120203,-0.122720,0.486019,-1.430629,2.749640,0.600000,0,3,0,0
194,0.409977,3.397942,5.118732,-0.122719,0.486019,-1.430804,2.749640,0.600000,0,3,0,0
195,0.409259,3.396497,5.117104,-0.122718,0.486019,-1.430994,2.749640,0.600000,0,3,0,0
196,0.408490,3.394968,5.115353,-0.122716,0.486019,-1.431195,2.749640,0.600000,0,3,0,0
197,0.407683,3.393380,5.113510,-0.122713,0.486019,-1.431403,2.749640,0.600000,0,3,0,0
198,0.407197,3.392432,5.112398,-0.122711,0.486019,-1.431527,2.749640,0.600000,0,3,0,0
199,0.406588,3.391257,5.111000,-0.122708,0.486019,-1.431680,2.749640,0.600000,0,3,0,0
200,0.405884,3.389911,5.109377,-0.122704,0.486019,-1.431855,2.749640,0.600000,0,3,0,0
201,0.405107,3.388442,5.107582,-0.122699,0.486019,-1.432046,2.749640,0.600000,0,3,0,0
202,0.404276,3.386886,5.105658,-0.122693,0.486019,-1.432247,2.749640,0.600000,0,3,0,0
203,0.403406,3.385273,5.103632,-0.122686,0.486019,-1.432456,2.749640,0.600000,0,3,0,0
204,0.402882,3.384309,5.102410,-0.122682,0.486019,-1.432580,2.749640,0.600000,0,3,0,0
205,0.402226,3.383116,5.100879,-0.122676,0.486019,-1.432734,2.749640,0.600000,0,3,0,0
206,0.401469,3.381749,5.099104,-0.122669,0.486019,-1.432909,2.749640,0.600000,0,3,0,0
207,0.400634,3.380257,5.097146,-0.122660,0.486019,-1.433100,2.749640,0.600000,0,3,0,0
208,0.399744,3.378677,5.095049,-0.122651,0.486019,-1.433303,2.749640,0.600000,0,3,0,0
209,0.398810,3.377039,5.092849,-0.122640,0.486019,-1.433512,2.749640,0.600000,0,3,0,0
210,0.398249,3.376062,5.091523,-0.122633,0.486019,-1.433636,2.749640,0.600000,0,3,0,0
211,0.397548,3.374851,5.089865,-0.122624,0.486019,-1.433790,2.749640,0.600000,0,3,0,0
212,0.396739,3.373464,5.087949,-0.122614,0.486019,-1.433966,2.749640,0.600000,0,3,0,0
213,0.395848,3.371951,5.085838,-0.122602,0.486019,-1.434158,2.749640,0.600000,0,3,0,0
214,0.394898,3.370349,5.083584,-0.122588,0.486019,-1.434360,2.749640,0.600000,0,3,0,0
215,0.393904,3.368688,5.081224,-0.122574,0.486019,-1.434570,2.749640,0.600000,0,3,0,0
216,0.393307,3.367697,5.079804,-0.122565,0.486019,-1.434695,2.749640,0.600000,0,3,0,0
217,0.392561,3.366470,5.078034,-0.122553,0.486019,-1.434849,2.749640,0.600000,0,3,0,0
218,0.391700,3.365065,5.075994,-0.122539,0.486019,-1.435025,2.749640,0.600000,0,3,0,0
219,0.390756,3.363532,5.073752,-0.122523,0.486019,-1.435217,2.749640,0.600000,0,3,0,0
220,0.389747,3.361909,5.071364,-0.122506,0.486019,-1.435420,2.749640,0.600000,0,3,0,0
221,0.388692,3.360226,5.068872,-0.122487,0.486019,-1.435630,2.749640,0.600000,0,3,0,0
222,0.388059,3.359222,5.067377,-0.122476,0.486019,-1.435756,2.749640,0.600000,0,3,0,0
223,0.387268,3.357980,5.065516,-0.122461,0.486019,-1.435910,2.749640,0.600000,0,3,0,0
224,0.386358,3.356560,5.063377,-0.122444,0.486019,-1.436087,2.749640,0.600000,0,3,0,0
225,0.385358,3.355009,5.061036,-0.122425,0.486019,-1.436280,2.749640,0.600000,0,3,0,0
226,0.384292,3.353368,5.058547,-0.122404,0.486019,-1.436483,2.749640,0.600000,0,3,0,0
227,0.383178,3.351665,5.055958,-0.122381,0.486019,-1.436694,2.749640,0.600000,0,3,0,0
