rva	name	subsystem	arg_type	note	callees
00427990	FUN_00427990	render	unknown	re/analysis/render_c1_to_c2_s1/FUN_00427990.md	00427780,004277a0,004a2be9,00552d10,00552d70,005555b0,00556e90
00427be0	FUN_00427be0	render	unknown	re/analysis/render_c1_to_c2_s1/FUN_00427be0.md	00427840,004a2be9,00552d10,00552d70,005555b0,00556e90
0042c090	FUN_0042c090	render	unknown	re/analysis/render_frame_d4/0x0042c090.md	004273e0
004c7760	FUN_004c7760	render	unknown	re/analysis/render_4_c1_to_c2_s4/FUN_004c7760.md	004c7768,004c776f,004c777a,004c7780,004c778e,004c7799,004c77a7
004725c0	FUN_004725c0	render	unknown	re/analysis/render_frame_d4/0x004725c0.md	004e6680,0069150c,006915ac
004891f0	FUN_004891f0	render	unknown	re/analysis/render_c0_promote_b/0x004891f0.md	007030a8,007d3ff8
00490490	FUN_00490490	render	unknown	re/analysis/render_c0_promote_c/0x00490490.md	00490497,004904a4,004904ba,004e6680,007d3ff8
0042f660	DefaultViewportCameraInit	render	unknown	re/analysis/promote_c2_video_display/0042f660.md	0042d420,0042f530,004c1a40,004c1b10,004c1d30,004c77c0,0067ed68,0067f190
0041faf0	VehicleShadowRender	render	unknown	re/analysis/promote_c2_render_lowrva/0041faf0.md	004769f0,00476a10,00476d00,004a2c48,004c0ed0,004c45f0,004c4d20,004c5010,004c52f0,005cc32c,0063e49c
0041fcc0	TireMarkRender	render	unknown	re/analysis/promote_c2_render_lowrva/0041fcc0.md	004769f0,00476a10,00476d00,004a2c48,004c45f0,004c4d20,004c5010,004c51a0,004c52f0,005f5fe8,005f6088,0063e4a0
0041f8f0	FUN_0041f8f0	render	unknown	re/analysis/promote_c2_render_lowrva/0041f8f0.md	00422570,00422ac0,00422af0,00426060,00426070,00426e00,004b42c0,004c1340,004c1680,004c19f0,004c1a00,004c1bb0,004e4320,004e4350,005cca00,006146fc,0063d850,0063d854,0063e490,0065742c,007d3ff8
004228f0	FUN_004228f0	render	unknown	re/analysis/promote_c2_render_lowrva/004228f0.md	00422570,004cd070,004cd140,004cd2d0,005cc320,005cc328,006403fc,006412e8,00641310,00641313,00641318,0064131c,00641324,007d3ff8
0042a7f0	FUN_0042a7f0	render	unknown	re/analysis/track_loader_d3/0042a7f0.md	0042a530,0042a640,004b3cc0,005cd6f0,005f65c0,0067dea8,0067e0a8
0042a860	FUN_0042a860	render	unknown	re/analysis/track_loader_d3/0042a860.md	0042a530,0042a640,004b3de0,005cd6e8,005f65c4,0067dda8,0067e5a8
00474fd0	FUN_00474fd0	render	unknown	re/analysis/track_loader_d3/00474fd0.md	00474f30,00474fb0
004b46b0	FUN_004b46b0	render	unknown	re/analysis/render_3_c1_to_c2_s3/FUN_004b46b0.md	
00491590	FUN_00491590	render	unknown	re/analysis/track_loader_d3/00491590.md	00491070,00491780,006146b0,006146c0,006146c4,006146c8,006146cc,0077152c,00771530,00771534,00771538,0077153c
0045de80	FUN_0045de80	render	unknown	re/analysis/render_c1_to_c2_s3/FUN_0045de80.md	
004c1480	FUN_004c1480	render	unknown	re/analysis/skeleton_prep_high_leverage/004c1480.md	004c1483,004c148c,004c1496,004c149a,004c14a5,004c14b1,004c14be,004c14ca,004c14d6,004c1511,004c52f0,007d3ff8
00474fb0	FUN_00474fb0	render	unknown	re/analysis/track_loader_d4/0x00474fb0.md	00474f90,00474fb6,004e66d0
004c3d90	FUN_004c3d90	render	unknown	re/analysis/track_loader_d4/0x004c3d90.md	004c3d97,007d3ff8,007d3ffc
004c77c0	FUN_004c77c0	render	unknown	re/analysis/texture_loader_d3/0x004c77c0.md	
004cc400	FUN_004cc400	render	unknown	re/analysis/texture_loader_d3/0x004cc400.md	
004cc4f0	FUN_004cc4f0	render	unknown	re/analysis/render_5_c1_to_c2_s1/FUN_004cc4f0.md	
004cdd60	FUN_004cdd60	render	unknown	re/analysis/texture_loader_d3/0x004cdd60.md	
004c1340	FUN_004c1340	render	unknown	re/analysis/render_c0_promote_c/0x004c1340.md	004c51a0,007d3ff8
004c1680	FUN_004c1680	render	unknown	re/analysis/render_c0_promote_c/0x004c1680.md	004c1340,004c4680,007d3ff8
004cd070	RwRenderPrimitiveSubmit	render	unknown	re/analysis/promote_c2_rw_render_submit/004cd070.md	004d40d0,004d7ff0,004d8480,007d3ff8
004cd2d0	RwRenderIndexedSubmit	render	unknown	re/analysis/promote_c2_rw_render_submit/004cd2d0.md	004cd070,004d40c0,004d40d0,004d7ff0,004d8480,007d3ff8,007d4710
