rva	name	subsystem	size	n_callers_c2plus	best_caller	shape_hint
004d54d0	FUN_004d54d0	render	18	1	004d07b0	arg_getter
004d54f0	FUN_004d54f0	render	90	3	004d5bc0	other
004d6c40	FUN_004d6c40	render	78	1	004d07b0	other
004d6c90	FUN_004d6c90	render	78	1	004d07b0	other
004d7100	FUN_004d7100	render	235	1	004d07b0	other
004d8c40	FUN_004d8c40	frontend	118	1	004c7730	other
004daa00	FUN_004daa00	render	64	1	004da4f0	other
004e4350	FUN_004e4350	render	33	5	004013f0	other
004ec740	FUN_004ec740	render	15	1	00496e40	arg_getter
004ec750	FUN_004ec750	render	11	1	00496e40	arg_getter
004ec760	FUN_004ec760	render	48	7	004eed54	other
004ec839	FUN_004ec839	render	165	1	0050f700	other
004f07a0	FUN_004f07a0	render	46	2	004f4340	arg_getter
004f07d0	FUN_004f07d0	render	46	2	004f43f0	arg_getter
004f3bd0	FUN_004f3bd0	render	14	5	004f0f10	arg_getter
004f3cb0	FUN_004f3cb0	render	39	3	004f0dc0	other
004f8400	FUN_004f8400	render	131	1	004f8490	other
004fa5f0	FUN_004fa5f0	render	246	1	004f43f0	other
004fb210	FUN_004fb210	render	141	3	004fb130	other
00516c40	png_sig_cmp	util	128	1	005175d0	other
00517200	FUN_00517200	util	70	6	00514780	other
005172f0	FUN_005172f0	util	143	2	005172b0	other
005173d0	FUN_005173d0	util	26	2	00514d00	arg_getter
00518570	FUN_00518570	util	14	1	00514330	arg_getter
005199f0	FUN_005199f0	util	248	1	00519270	arg_getter
00519af0	FUN_00519af0	util	196	1	00519270	arg_getter
0051ca60	FUN_0051ca60	util	35	3	0051e230	other
00520990	FUN_00520990	util	49	2	00528810	other
005209d0	FUN_005209d0	util	35	2	00514d00	arg_getter
00520ef0	FUN_00520ef0	util	257	1	00520a00	arg_getter
00523110	png_get_uint_32	util	39	12	005175d0	other
00528e30	FUN_00528e30	util	181	2	00521110	arg_getter
00557110	FUN_00557110	hud	169	1	00556d70	other
00558100	FUN_00558100	gameplay	63	2	0044df80	arg_getter
00558140	FUN_00558140	gameplay	51	1	0044df80	arg_getter
005a6190	FUN_005a6190	audio	31	1	005a5f00	arg_getter
005a7420	FUN_005a7420	audio	64	1	005a65d0	arg_getter
005a7a60	FUN_005a7a60	audio	60	1	005ac880	other
005a7b40	FUN_005a7b40	audio	16	1	005a7b60	other
005aa030	FUN_005aa030	audio	38	1	005aa560	arg_getter
005aa9c0	FUN_005aa9c0	audio	60	2	005aa900	arg_getter
005ab980	FUN_005ab980	audio	78	1	005ab710	other
005ae170	FUN_005ae170	audio	81	1	005afa00	other
005ae4c0	FUN_005ae4c0	audio	139	1	005ae3a0	arg_getter
005ae550	FUN_005ae550	audio	58	1	005ae400	other
005aed20	FUN_005aed20	audio	119	1	005a9280	other
005af700	FUN_005af700	audio	63	2	005af040	other
005b0b60	FUN_005b0b60	audio	37	1	005afcf0	other
005b0b90	FUN_005b0b90	audio	32	1	005af070	arg_getter
005b0bb0	FUN_005b0bb0	audio	190	1	005af8f0	other
005b0c70	FUN_005b0c70	audio	44	1	005a8890	arg_getter
005b0ca0	FUN_005b0ca0	audio	19	1	005a86a0	arg_getter
005b0cf0	FUN_005b0cf0	audio	170	1	005a89d0	other
005b0dc0	FUN_005b0dc0	audio	19	1	005a8960	arg_getter
005b0ec0	FUN_005b0ec0	audio	71	2	005b7980	arg_getter
005b0f10	FUN_005b0f10	audio	43	3	005b70e0	other
005b0f90	FUN_005b0f90	audio	104	1	005b7b30	other
005b1180	FUN_005b1180	audio	67	1	005bdad0	other
005b11d0	FUN_005b11d0	audio	31	1	005b7b30	other
005b2fd0	FUN_005b2fd0	audio	70	1	005b2de0	other
005b35e0	FUN_005b35e0	audio	58	1	005ada40	arg_getter
005b6a40	FUN_005b6a40	audio	191	1	005b6820	other
005b6b00	FUN_005b6b00	audio	123	2	005b6760	other
005b93a0	FUN_005b93a0	audio	102	1	005c8910	other
005baf00	MusicGroupVolumeSet	audio	62	2	0045dd60	other
005bde50	FUN_005bde50	audio	21	2	005bd6f0	arg_getter
005be930	FUN_005be930	audio	13	3	005be8c0	arg_getter
005beb50	FUN_005beb50	audio	69	2	005beae0	arg_getter
005bf7d0	FUN_005bf7d0	audio	25	1	005be260	arg_getter
005c1dac	__ftol	boot	39	5	004b9b60	other
005c1f1c	__setjmp3	boot	123	5	004b7be0	other
005c2770	FUN_005c2770	boot	31	1	004fbdd5	other
005c2f0a	FUN_005c2f0a	boot	28	4	005be260	other
005c2f58	FUN_005c2f58	boot	22	1	005bf000	arg_getter
005c3403	FUN_005c3403	boot	7	2	005c33bb	other
005c3584	__fload	boot	60	2	005c33bb	other
005c4d30	FUN_005c4d30	boot	17	10	00553f40	arg_getter
005c6b60	FUN_005c6b60	boot	75	1	005c7330	other
005c9120	FUN_005c9120	audio	39	1	005c90a0	arg_getter
005c95b0	FUN_005c95b0	audio	204	3	005c1140	other
