# CLEARED — non-leaf C2, all callees C2+, reachable. Ready to hand off.
rva	name	subsystem	size	n_callees	n_callers_c2plus	best_caller	shape_hint	blocking_callees
00423b00	FUN_00423b00	frontend	29	4	1	00425a40	other	
00496470	sub_00496470	boot	29	1	1	00499820	read_global_u32	
004b4050	FUN_004b4050	render	29	1	1	004b4080	arg_getter	
005b1140	FUN_005b1140	audio	29	1	3	005af7a0	other	
00421960	FUN_00421960	audio	30	2	1	00421d20	other	
004770a0	FUN_004770a0	render	30	0	19	00413f50	arg_getter	
004960e0	sub_004960e0	boot	30	0	1	00499820	read_global_u32	
005ae7e0	FUN_005ae7e0	audio	30	1	4	005a9d00	arg_getter	
005af300	FUN_005af300	audio	30	0	1	005af2d0	arg_getter	
004218b0	FUN_004218b0	render	31	2	1	004218d0	other	
00422140	FUN_00422140	render	31	1	1	0040cf80	other	
00476880	FUN_00476880	util	31	1	5	00421d20	other	
004929d0	FUN_004929d0	util	31	1	1	00492290	other	
004b7fd0	FUN_004b7fd0	render	31	1	1	004b7200	other	
004c0ed0	FUN_004c0ed0	render	31	1	32	00405ab0	other	
005a7a40	FUN_005a7a40	audio	31	1	2	005a79a0	other	
005a9f10	FUN_005a9f10	audio	31	1	1	005aa7a0	arg_getter	
005b0b40	FUN_005b0b40	audio	31	1	3	005afcf0	other	
005ba760	FUN_005ba760	audio	31	2	2	005ba1d0	arg_getter	
005bf350	FUN_005bf350	audio	31	1	1	005bdad0	arg_getter	
004752d0	FUN_004752d0	render	32	1	2	00404fa0	other	
00478200	FUN_00478200	track	32	2	1	00479330	other	
00490000	FUN_00490000	render	32	1	1	0040cfd0	other	
00494460	sub_00494460	frontend	32	2	2	00494f20	other	
0049cb00	FUN_0049cb00	particle	32	0	1	0049ea70	other	
00409790	FUN_00409790	gameplay	33	1	1	00441820	other	
00421720	FUN_00421720	render	33	1	1	004219c0	other	
00422290	FUN_00422290	render	33	1	1	004222d0	other	
00458fd0	FUN_00458fd0	gameplay	33	2	1	00426460	other	
00489910	FUN_00489910	gameplay	33	1	2	00486220	other	
004b9600	FUN_004b9600	input	33	1	1	004b9730	other	
004cc7f0	FUN_004cc7f0	render	33	1	11	004c8690	other	
005a8e70	FUN_005a8e70	audio	33	1	1	004627f0	other	
005aeed0	FUN_005aeed0	audio	33	0	2	005ab560	arg_getter	
005b1110	FUN_005b1110	audio	33	1	2	005af040	other	
00426d90	FUN_00426d90	frontend	34	1	1	004270f0	other	
00496970	FUN_00496970	render	34	1	1	0047ba10	read_global_u32	
004b9aa0	FUN_004b9aa0	input	34	1	8	004b7250	other	
004cbb20	FUN_004cbb20	render	34	0	1	0049aae0	other	
004d8770	RwStringGetSizeAligned	render	34	0	2	004cf460	arg_getter	
005a61b0	FUN_005a61b0	audio	34	0	4	005ad6f0	arg_getter	
005a6dc0	FUN_005a6dc0	audio	34	1	39	0045d460	arg_getter	
005adf60	FUN_005adf60	audio	34	0	1	005a7aa0	arg_getter	
005b0b10	FUN_005b0b10	audio	34	1	3	005afcf0	arg_getter	
00418db0	FUN_00418db0	render	35	0	1	00419530	other	
0041c2d0	FUN_0041c2d0	hud	35	0	2	0041a3e0	other	
00421930	FUN_00421930	render	35	1	1	00421a90	arg_getter	
0042c2a0	FUN_0042c2a0	boot	35	2	1	00402a40	read_global_u32	
0045bfa0	PowerupSlotActivate	powerups	35	1	1	0045c010	other	
004853f0	FUN_004853f0	smplfzx	35	3	1	00478cf0	other	
0048fef0	FUN_0048fef0	particle	35	1	1	0048ff20	other	
004c1be0	sub_004c1be0	frontend	35	1	6	004026d0	other	
004c5770	FUN_004c5770	render	35	0	2	004593b0	arg_getter	
004d1640	FUN_004d1640	render	35	0	1	004d1d20	arg_getter	
005af200	FUN_005af200	audio	35	0	4	005a8560	arg_getter	
0041f290	FUN_0041f290	gameplay	36	1	9	004039f0	arg_getter	
00451730	FUN_00451730	gameplay	36	1	1	00485460	other	
0048bbe0	FUN_0048bbe0	particle	36	2	1	0040bbb0	other	
004c2d90	FUN_004c2d90	render	36	1	4	00472380	other	
004c7620	FUN_004c7620	render	36	0	1	004de1b0	read_global_u32	
004c79f0	FUN_004c79f0	render	36	0	1	004d07b0	arg_getter	
005a60b0	FUN_005a60b0	audio	36	4	1	0045d3f0	const_setter	
005ab150	FUN_005ab150	audio	36	2	1	005b1500	other	
0040e560	FUN_0040e560	util	37	5	1	004103a0	other	
00421c50	FUN_00421c50	render	37	1	1	00422120	other	
0049ff30	FUN_0049ff30	particle	37	0	1	0049cd70	other	
004b7250	FUN_004b7250	input	37	2	3	0047b980	other	
005af7a0	FUN_005af7a0	audio	37	1	1	005af510	other	
00412100	FUN_00412100	render	38	0	1	0040bde0	other	
00451060	FUN_00451060	gameplay	38	3	1	004492b0	other	
00458dd0	FUN_00458dd0	gameplay	38	3	2	00458e00	other	
00487150	FUN_00487150	particle	38	2	1	00487e00	other	
00494480	FUN_00494480	video	38	3	2	00494f10	other	
00495080	FUN_00495080	frontend	38	1	1	0043dfd0	other	
004c3d60	FUN_004c3d60	render	38	0	2	00471780	other	
004c3dc0	FUN_004c3dc0	render	38	0	1	00426810	other	
005a60e0	FUN_005a60e0	audio	38	2	2	0045d430	other	
005b10a0	FUN_005b10a0	audio	38	0	2	005b10d0	other	
005b10e0	FUN_005b10e0	audio	38	0	2	005b1030	other	
005b3b30	FUN_005b3b30	audio	38	1	2	005abd30	other	
00421560	FUN_00421560	render	39	1	1	0040bde0	read_global_u32	
004292d0	sub_004292d0	util	39	1	3	0040b090	other	
0045d430	FUN_0045d430	util	39	1	2	00429290	read_global_u32	
0047b9b0	FUN_0047b9b0	physics	39	3	5	00426340	other	
00481750	FUN_00481750	vehicle	39	2	4	004039f0	arg_getter	
0048fce0	FUN_0048fce0	particle	39	1	1	0040bde0	read_global_u32	
0048fd10	FUN_0048fd10	particle	39	1	1	0040bde0	read_global_u32	
0048fd40	FUN_0048fd40	particle	39	1	1	0040bde0	read_global_u32	
0049cc40	FUN_0049cc40	particle	39	0	3	0049e600	other	
004c7690	FUN_004c7690	render	39	1	1	004cfa00	other	
004ce6c0	FUN_004ce6c0	render	39	1	1	004c6750	other	
004e4320	FUN_004e4320	render	39	1	5	004013f0	other	
00557220	FontSys_ShutdownDataPools	hud	39	1	1	00552b90	read_global_u32	
005a6280	FUN_005a6280	audio	39	1	1	0045d460	other	
005a7f70	FUN_005a7f70	audio	39	1	1	00462dd0	other	
005a9de0	FUN_005a9de0	audio	39	1	1	005a62b0	other	
005b3550	FUN_005b3550	audio	39	2	1	005a9d00	other	
005b8570	FUN_005b8570	audio	39	1	1	0045d460	other	
005b9e30	FUN_005b9e30	audio	39	1	1	004627f0	other	
0040dba0	FUN_0040dba0	util	40	2	1	0040fc00	other	
00418a70	FUN_00418a70	render	40	1	1	00419530	other	
0041b660	FUN_0041b660	boot	40	2	1	00402a40	other	
00429290	FUN_00429290	frontend	40	5	1	004669b0	other	
0045da60	FUN_0045da60	audio	40	1	1	0045e040	other	
00496940	FUN_00496940	render	40	1	1	0047ba00	read_global_u32	
0049f1e0	FUN_0049f1e0	particle	40	0	1	004a0570	other	
004c76c0	FUN_004c76c0	render	40	0	1	004de1b0	other	
00534920	FUN_00534920	util	40	1	1	00493640	other	
005be160	FUN_005be160	audio	40	3	1	005bc640	other	
00425b90	FUN_00425b90	frontend	41	1	1	00425c00	other	
00428760	FUN_00428760	hud	41	1	5	00403050	other	
00467070	FUN_00467070	boot	41	3	1	00402a40	read_global_u32	
0046cc10	FUN_0046cc10	ai	41	1	8	0040ca00	other	
004725c0	FUN_004725c0	render	41	1	1	00410b30	other	
0047d150	FUN_0047d150	gameplay	41	1	5	004064c0	arg_getter	
00483a40	FUN_00483a40	vehicle	41	0	1	004114e0	other	
00485380	FUN_00485380	vehicle	41	2	1	00485420	other	
00489c30	FUN_00489c30	particle	41	1	1	00406130	read_global_u32	
0048ffd0	FUN_0048ffd0	particle	41	2	1	0040bd00	other	
00492d30	FUN_00492d30	util	41	3	1	00492290	other	
0049ff60	FUN_0049ff60	particle	41	0	1	0049ce10	other	
004cb840	FUN_004cb840	render	41	0	2	004f13d0	other	
004cd550	FUN_004cd550	render	41	0	1	004e19f0	arg_getter	
00550950	FUN_00550950	audio	41	0	2	004b5380	other	
005ab040	FUN_005ab040	util	41	0	5	005a6ea0	read_global_u32	
004219c0	FUN_004219c0	render	42	1	1	00410b30	read_global_u32	
00474db0	FUN_00474db0	render	42	1	5	004759b0	read_global_u32	
00495580	FUN_00495580	input	42	1	1	004955c0	other	
00495fe0	FUN_00495fe0	input	42	1	1	004967e0	read_global_u32	
004cde20	FUN_004cde20	render	42	0	1	004db2e0	other	
005a5d60	FUN_005a5d60	audio	42	1	1	005a5910	other	
005ab190	FUN_005ab190	audio	42	1	1	005b2190	arg_getter	
005af040	FUN_005af040	audio	42	2	1	005a8750	arg_getter	
005bcbb0	FUN_005bcbb0	audio	42	1	2	005be450	other	
00413b80	FUN_00413b80	hud	43	3	1	0040bbb0	other	
0041ccf0	FUN_0041ccf0	boot	43	2	1	00402a40	other	
00448700	FUN_00448700	vehicle	43	1	3	00403250	other	
00477580	FUN_00477580	render	43	3	1	00477870	other	
004b5320	FUN_004b5320	vehicle	43	1	4	00401000	other	
004c3d90	FUN_004c3d90	render	43	0	20	0040c690	other	
005ae300	FUN_005ae300	audio	43	1	2	005ae250	other	
005bc020	FUN_005bc020	audio	43	0	2	005b8c40	other	
00417370	FUN_00417370	gameplay	44	1	1	00422ba0	read_global_f32	
