address	outcome	detail
0x004b4bb0	CREATED	FUN_004b4bb0	size=196
0x004b4d60	CREATED	FUN_004b4d60	size=188
0x004b4eb0	CREATED	FUN_004b4eb0	size=384
0x004b5300	CREATED	FUN_004b5300	size=29
0x004b5560	CREATED	FUN_004b5560	size=23
0x004b6630	CREATED	FUN_004b6630	size=16
0x004b6ba0	CREATED	FUN_004b6ba0	size=81
0x004b6c00	CREATED	FUN_004b6c00	size=195
0x004b6cd0	CREATED	FUN_004b6cd0	size=498
0x004b6ed0	CREATED	FUN_004b6ed0	size=131
0x004b6f60	CREATED	FUN_004b6f60	size=46
0x004b6f90	CREATED	FUN_004b6f90	size=36
0x004b73e0	CREATED	FUN_004b73e0	size=106
0x004b79a0	CREATED	FUN_004b79a0	size=25
0x004b7a20	CREATED	FUN_004b7a20	size=68
0x004b7d08	SKIP_DEFINED_DATA	pointer
0x004b92b8	SKIP_DEFINED_DATA	pointer
0x004b9b40	SKIP_DEFINED_DATA	pointer
0x004ba898	SKIP_DEFINED_DATA	pointer
0x004ba93c	SKIP_DEFINED_DATA	pointer
0x004bb070	SKIP_DEFINED_DATA	pointer
0x004bb0ad	SKIP_DEFINED_DATA	byte
0x004bb728	SKIP_DEFINED_DATA	pointer
0x004bb73d	SKIP_DEFINED_DATA	byte
0x004bba60	SKIP_DEFINED_DATA	pointer
0x004bba7e	SKIP_NO_CODE	disassemble() produced no instruction
0x004bbd48	SKIP_DEFINED_DATA	pointer
0x004bbd60	SKIP_DEFINED_DATA	byte
0x004bc13c	SKIP_DEFINED_DATA	pointer
0x004bc2cc	SKIP_DEFINED_DATA	pointer
0x004bc2f7	SKIP_NO_CODE	disassemble() produced no instruction
0x004bc470	CREATED	FUN_004bc470	size=4
0x004bc818	SKIP_DEFINED_DATA	pointer
0x004bc820	SKIP_DEFINED_DATA	byte
0x004bc92c	SKIP_DEFINED_DATA	pointer
0x004bc933	SKIP_NO_CODE	disassemble() produced no instruction
0x004bcea4	SKIP_DEFINED_DATA	pointer
0x004bcec4	SKIP_DEFINED_DATA	byte
0x004bd3a4	SKIP_DEFINED_DATA	pointer
0x004bd3b8	SKIP_DEFINED_DATA	byte
0x004bd714	SKIP_DEFINED_DATA	pointer
0x004bd724	SKIP_DEFINED_DATA	byte
0x004bdaa4	SKIP_DEFINED_DATA	pointer
0x004bdab6	SKIP_NO_CODE	disassemble() produced no instruction
0x004bf660	SKIP_DEFINED_DATA	pointer
0x004bf6b8	SKIP_DEFINED_DATA	pointer
0x004bfdac	SKIP_DEFINED_DATA	pointer
0x004bfdef	SKIP_NO_CODE	disassemble() produced no instruction
0x004bfe20	SKIP_DEFINED_DATA	pointer
0x004c0560	CREATED	FUN_004c0560	size=65
0x004c07b0	CREATED	FUN_004c07b0	size=124
0x004c0830	CREATED	FUN_004c0830	size=61
0x004c1940	CREATED	FUN_004c1940	size=61
0x004c1980	CREATED	FUN_004c1980	size=100
0x004c1de0	CREATED	FUN_004c1de0	size=401
0x004c2b80	CREATED	FUN_004c2b80	size=47
0x004c2bb0	CREATED	FUN_004c2bb0	size=57
0x004c2d50	SKIP_DEFINED_DATA	pointer
0x004c35b0	CREATED	FUN_004c35b0	size=21
0x004c35d0	CREATED	FUN_004c35d0	size=25
0x004c3670	CREATED	FUN_004c3670	size=183
0x004c37d0	CREATED	FUN_004c37d0	size=163
0x004c3e20	CREATED	FUN_004c3e20	size=110
0x004c3e90	CREATED	FUN_004c3e90	size=543
0x004c40e0	CREATED	FUN_004c40e0	size=314
0x004c4430	CREATED	FUN_004c4430	size=61
0x004c4470	CREATED	FUN_004c4470	size=191
0x004c5e00	CREATED	FUN_004c5e00	size=340
0x004c5f60	CREATED	FUN_004c5f60	size=471
0x004c78a0	CREATED	FUN_004c78a0	size=63
0x004c78e0	CREATED	FUN_004c78e0	size=272
0x004c856c	SKIP_DEFINED_DATA	undefined *
0x004c85bf	SKIP_NO_CODE	disassemble() produced no instruction
0x004c85c8	SKIP_DEFINED_DATA	undefined *
0x004c85db	SKIP_DEFINED_DATA	byte
0x004c85e4	SKIP_DEFINED_DATA	pointer
