rva	klass	shape	arg_type	subsystem	size	reason
004840f0	STATE	-	-	vehicle	59	STATE: reads live global / derefs arg → needs booted game
00484c90	STATE	-	-	util	83	STATE: reads live global / derefs arg → needs booted game
004850b0	STATE	-	-	smplfzx	42	STATE: reads live global / derefs arg → needs booted game
00485340	STATE	-	-	vehicle	28	STATE: reads live global / derefs arg → needs booted game
00485a00	STATE	-	-	smplfzx	101	STATE: reads live global / derefs arg → needs booted game
00486f90	STATE	-	-	particle	140	STATE: reads live global / derefs arg → needs booted game
00488320	STATE	-	-	sky	108	STATE: reads live global / derefs arg → needs booted game
00489290	STATE	-	-	particle	36	STATE: reads live global / derefs arg → needs booted game
004893b0	STATE	-	-	gameplay	31	STATE: reads live global / derefs arg → needs booted game
004893d0	STATE	-	-	frontend	119	STATE: reads live global / derefs arg → needs booted game
004899c0	STATE	-	-	particle	113	STATE: reads live global / derefs arg → needs booted game
00489da0	STATE	-	-	particle	30	STATE: reads live global / derefs arg → needs booted game
0048a630	STATE	-	-	ai	185	STATE: reads live global / derefs arg → needs booted game
0048ebc0	STATE	-	-	render	33	STATE: reads live global / derefs arg → needs booted game
0048f590	STATE	-	-	particle	235	STATE: reads live global / derefs arg → needs booted game
00491070	STATE	-	-	render	78	STATE: reads live global / derefs arg → needs booted game
004938e0	STATE	-	-	util	28	STATE: reads live global / derefs arg → needs booted game
004957a0	STATE	-	-	input	136	STATE: reads live global / derefs arg → needs booted game
004b4550	STATE	-	-	util	247	STATE: reads live global / derefs arg → needs booted game
004b4650	STATE	-	-	render	91	STATE: reads live global / derefs arg → needs booted game
004b5240	STATE	-	-	vehicle	29	STATE: reads live global / derefs arg → needs booted game
004b52c0	STATE	-	-	render	35	STATE: reads live global / derefs arg → needs booted game
004b7020	STATE	-	-	render	23	STATE: reads live global / derefs arg → needs booted game
004b9540	STATE	-	-	input	34	STATE: reads live global / derefs arg → needs booted game
004c0e50	STATE	-	-	render	125	STATE: reads live global / derefs arg → needs booted game
004c1a70	STATE	-	-	render	150	STATE: reads live global / derefs arg → needs booted game
004c3910	STATE	-	-	render	149	STATE: reads live global / derefs arg → needs booted game
004c4270	STATE	-	-	render	91	STATE: reads live global / derefs arg → needs booted game
004c42d0	STATE	-	-	render	137	STATE: reads live global / derefs arg → needs booted game
004c4360	STATE	-	-	render	200	STATE: reads live global / derefs arg → needs booted game
004c45f0	STATE	-	-	render	12	STATE: reads live global / derefs arg → needs booted game
004c5bc0	STATE	-	-	render	58	STATE: reads live global / derefs arg → needs booted game
004c5c00	STATE	-	-	frontend	115	STATE: reads live global / derefs arg → needs booted game
004c75c0	STATE	-	-	render	22	STATE: reads live global / derefs arg → needs booted game
004cb740	STATE	-	-	render	244	STATE: reads live global / derefs arg → needs booted game
004cbb70	STATE	-	-	render	82	STATE: reads live global / derefs arg → needs booted game
004cbbd0	STATE	-	-	render	130	STATE: reads live global / derefs arg → needs booted game
004cde50	STATE	-	-	render	198	STATE: reads live global / derefs arg → needs booted game
004ceaf0	STATE	-	-	render	162	STATE: reads live global / derefs arg → needs booted game
