rva	name	subsystem	arg_type	note	callees
0043dfd0	FUN_0043dfd0	frontend	unknown	re/analysis/timer_d2/0x0043dfd0.md	00402f40,004098b0,00409900,00409930,0040acd0,0040ad20,0040ad30,0040b810,0040e170,0040e360,0040e470,0040e480,00413f90,00414120,00422b30,004298c0,00429aa0,0042aa00,0042ac90,0042ae10,0042aeb0,0042af50,0042aff0,0042b180,0042b310,0042b540,0042b770,0042b950,0042b960,0042b9e0,0042bb60,0042bf30,0042f020,0042f400,0042f500,0042f6b0,00430760,004307a0,00430830,00430910,004309b0,00430b60,00431b30,00431b80,00431d00,004322c0,004323c0,004324a0,004325c0,00432800,0043c000,0043d2a0,0043dffe,00440aa9,0045b350,0046dc00,00472640,00492340,00493f70,00494460,00494480,00494a80,00494f30,00495080,004a2c48,005cc320,005cd18c,005d757c,005f76c4,005f76c8,0067e840,0067e9f8,0067e9fc,0067ea64,0067eca4,0067eca8,0067ed3c,0067ed7c,007d3ff8,007f0a40,007f0a5c,007f0eec,007f0ef0,007f1044,007f105c,007f1a14
004298c0	FUN_004298c0	frontend	unknown	re/analysis/frontend_c1_to_c2_s6/FUN_004298c0.md	0067d98c,0067d994,0067d99c
0040acd0	FUN_0040acd0	frontend	unknown	re/analysis/c0_promotion_frontend_a/0x0040acd0.md	00404e50,00404e80,00404ee0,00404f50,00404f80,004098d0,00409900,00409950,004099a0,004099e0,00409a80,00409b0e,0040a13e,0040a3c1,0040ad00,0042bfb0,0042c1a0,0045b350,004d8560,005c9d00,005cc31c,005cc320
00495080	FUN_00495080	frontend	unknown	re/analysis/game_mode_cont2/0x00495080.md	00494fd0,005cc32c
00494f30	FUN_00494f30	frontend	unknown	re/analysis/game_mode_cont2/0x00494f30.md	00493fc0,00771a18,00771a50,00771a54
00448220	Frontend::PostRaceResultCamera	frontend	unknown	re/analysis/profile_career_d2/FUN_00448220.md	00408b00,00409330,0040e350,0040e370,0040e4a0,0040e4b0,0041ef60,00429a70,00429a80,00429a90,00441990,00442e00,00446520,004483a3,0046b4f0,0046c7b0,0046cbb0,0046d4a0,0046d510,00472650,004a2b60,004a2c48,004c1c10,005cc32c,005cc8f0,005cd92c,005cd930,005cd934,005cd938,005cd944,005cd950,0063ba8c,0067e9fc,007f1a50
004288a0	FUN_004288a0	frontend	unknown	re/analysis/frontend_c1_to_c2_s5/FUN_004288a0.md	
00431f30	FUN_00431f30	frontend	unknown	re/analysis/options_menu/0x00431f30.md	0042f0c0,0042fb70,0042fe90,00430120,00430b90,00431240,004314b0,00431710,00431d90,004335f0,00434720,00439210,0043a610,0043aa30,0043af10,0043bf30,0067e7a8,0067e7b0,0067e7b8,0067e7c8,0067e7d0,0067e7d8,0067e7e0,0067e7e8,0067e7f0,0067e7f8,0067e800,0067e808,0067e810,0067e818,0067e820,0067e828,0067e830,0067e838
0043df00	FUN_0043df00	frontend	unknown	re/analysis/options_menu/0x0043df00.md	0040dc90,0040e170,0040e480,0043d2a0,0046dc00,0067e914,0067e9fc,0067ea64,0067ea70,0067ea74,0067ea78,0067ea84,0067ecb0,0067ecdc,0067ed34,0067ed6c,007f0fd0,007f1a14,007f1a18,007f1a24,007f1a28,007f1a34,007f1a38,007f1a44,007f1a48
00428a30	FUN_00428a30	frontend	unknown	re/analysis/frontend_c1_to_c2_s5/FUN_00428a30.md	
00429290	FUN_00429290	frontend	unknown	re/analysis/skeleton_prep_game_state/00429290.md	00429240,0045d3f0,0045d430,00466b50,004967e0,0067d960
00428bf0	FUN_00428bf0	frontend	unknown	re/analysis/frontend_c1_to_c2_s5/FUN_00428bf0.md	
00401ee0	FUN_00401ee0	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/00401ee0.md	00401570,00401da0,00401ee3,00401ee8,00401ef1,004e6680,00636ac0
00401da0	FUN_00401da0	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/00401da0.md	00401db4,00401e22,00401e2e,00401e3e,00401e4e,00401e5a,00401e66,00426cf0,00467210,004c1480,004c4d20,004c5010,004c51a0,005cc320,005cc340,00636ac0,00636ac4
004189f0	thunk_FUN_00419760	frontend	unknown	re/analysis/frontend_c1_to_c2_s1/004189f0.md	004189f4,00418a30,00418de0,00419760,005f3298,0063bf30,0063c018,0063c028,0063c04c,0063c06c,007f1a14,007f1a1c
004215c0	FUN_004215c0	frontend	unknown	re/analysis/promote_c1_low_ab1/0x004215c0.md	004039f0,0040be50,00420de0,004215c6,004215dc,00422fd0
0042e8b0	FUN_0042e8b0	frontend	unknown	re/analysis/frontend_c1_to_c2_s6/FUN_0042e8b0.md	0042e590,0042e9ff,00472c60,00474890,004a2c48,0067ea58,0067f0bc
