rw_name	module	return_type	arg_signature	source_file	line	also_in
RwMatrixQueryRotate	matrix	const RwMatrix*	const RwMatrix* matrix, RwV3d* unitAxis, RwReal* angle, RwV3d* center	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	205	
RwMatrixRotate	matrix	RwMatrix*	RwMatrix* matrix, const RwV3d* axis, RwReal angle, RwOpCombineType combineOp	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	197	
RwMatrixRotateOneMinusCosineSine	matrix	RwMatrix*	RwMatrix* matrix, const RwV3d* unitAxis, RwReal oneMinusCosine, RwReal sine, RwOpCombineType combineOp	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	201	
RwMatrixScale	matrix	RwMatrix*	RwMatrix* matrix, const RwV3d* scale, RwOpCombineType combineOp	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	189	
RwMatrixSetFreeListCreateParams	matrix	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	161	
RwMatrixStreamGetSize	matrix	RwUInt32	const RwMatrix * matrix	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.h	6692	
RwMatrixTransform	matrix	RwMatrix*	RwMatrix* matrix, const RwMatrix* transform, RwOpCombineType combineOp	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	177	
RwMatrixTranslate	matrix	RwMatrix*	RwMatrix* matrix, const RwV3d* translation, RwOpCombineType combineOp	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	193	
RwMatrixUpdate	matrix	RwMatrix*	RwMatrix* matrix	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	209	
RwOsGetMemoryInterface	os	RwMemoryFunctions*		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	5	
RwPalQuantAddImage	other	void	RwPalQuant* pq, RwImage* img, RwReal weight	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	388	
RwPalQuantInit	other	RwBool	RwPalQuant* pq	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	380	
RwPalQuantMatchImage	other	void	RwUInt8* dstpixels, RwInt32 dststride, RwInt32 dstdepth, RwBool dstPacked, RwPalQuant* pq, RwImage* img	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	396	
RwPalQuantResolvePalette	other	RwInt32	RwRGBA* palette, RwInt32 maxcols, RwPalQuant* pq	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	392	
RwPalQuantTerm	other	void	RwPalQuant* pq	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	384	
RwPluginRegistrySetFreeListCreateParams	other	void	RwInt32 blockSize, RwInt32 numBlocksToPrealloc	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwplcore.cpp	93	
RwRGBAToPixel	other	RwUInt32	RwRGBA * rgbIn, RwInt32 rasterFormat	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	1177	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwRasterClear	raster	RwBool	RwInt32 pixelValue	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	295	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwRasterClearRect	raster	RwBool	RwRect* rpRect, RwInt32 pixelValue	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	299	
RwRasterCreate	raster	RwRaster*	RwInt32 width, RwInt32 height, RwInt32 depth, RwInt32 flags	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	251	
RwRasterDestroy	raster	RwBool	RwRaster * raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	255	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwRasterGetCurrentContext	raster	RwRaster*		re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	291	
RwRasterGetDepth	raster	RwInt32	const RwRaster *raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	1717	
RwRasterGetFormat	raster	RwInt32	const RwRaster *raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	1718	
RwRasterGetHeight	raster	RwInt32	const RwRaster *raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h	1715	
RwRasterGetNumLevels	raster	RwInt32	RwRaster * raster	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	263	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.h
RwRasterGetOffset	raster	RwRaster*	RwRaster* raster, RwInt16* xOffset, RwInt16* yOffset	re\prior_art\renderware\gta-reversed-modern\source\game_sa\RenderWare\rw\rwcore.cpp	259	
