rva	sub	name	size	n_callees	conv	nargs	ret	arg_type_today	runnable_today	sig_conf	fp	imports	com_d3d	rw_orch	rw_frac	twin	derefs_arg	reads_global	n_globals	cyclic
005b6820	audio	FUN_005b6820	230	1	fastcall/thiscall	7	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005b6910	audio	FUN_005b6910	296	1	cdecl	11	int	-	0	low	0	-	0	0	0.0	-	0	0	0	0
005b6be0	audio	FUN_005b6be0	611	2	cdecl	2	int	-	0	low	0	-	0	0	0.0	ambiguous	1	1	2	0
005b7010	audio	FUN_005b7010	43	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	flag	1	1	0	0
005b70e0	audio	FUN_005b70e0	45	1	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	1	1	0
005b7110	audio	FUN_005b7110	279	1	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005b73e0	audio	FUN_005b73e0	68	3	cdecl	0	int	none	1	low	0	-	0	0	0.0	-	0	0	4	0
005b7430	audio	FUN_005b7430	14	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	1	0
005b74c0	audio	FUN_005b74c0	611	2	cdecl	2	int	-	0	low	0	-	0	0	0.0	flag	1	1	3	0
005b7880	audio	FUN_005b7880	52	4	cdecl	3	int	-	0	low	0	-	0	0	0.0	ambiguous	0	0	0	0
005b7980	audio	FUN_005b7980	264	3	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005b7b30	audio	FUN_005b7b30	76	3	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	0	0	0	0
005b7e20	audio	FUN_005b7e20	23	1	cdecl	2	int	int_pair	1	low	0	-	0	0	0.0	flag	0	0	0	0
005b8040	audio	FUN_005b8040	58	1	cdecl	2	int	int_pair	1	low	0	-	0	0	0.0	ok-asc	0	0	0	0
005b8080	audio	FUN_005b8080	15	0	cdecl	1	int	-	0	low	0	Win32	0	0	0.0	-	1	0	1	0
005b8090	audio	FUN_005b8090	159	0	cdecl	6	int	-	0	low	0	Win32	0	0	0.0	-	1	0	2	0
005b8130	audio	FUN_005b8130	147	0	cdecl	2	int	-	0	low	0	Win32	0	0	0.0	-	1	0	2	0
005b81d0	audio	FUN_005b81d0	47	0	cdecl	1	int	int_scalar	1	low	0	Win32	0	0	0.0	ok-asc	0	0	2	0
005b8570	audio	FUN_005b8570	39	1	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	0	0	1	0
005b8be0	audio	FUN_005b8be0	90	2	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005b8c40	audio	FUN_005b8c40	1676	5	cdecl	10	int	-	0	low	1	-	0	0	0.2	-	1	1	8	0
005b92e0	audio	FUN_005b92e0	63	1	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005b9320	audio	FUN_005b9320	118	1	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005b9460	audio	FUN_005b9460	190	5	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005b9e30	audio	FUN_005b9e30	39	1	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	0	0	1	0
005b9f30	audio	LAB_005b9f30	610	2	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	1	2	0
005ba1d0	audio	FUN_005ba1d0	1351	15	cdecl	18	int	-	0	low	1	DSound+Win32	1	0	0.07	-	1	1	2	0
005ba720	audio	FUN_005ba720	50	2	cdecl	1	int	-	0	low	0	COM/DShow	1	0	0.0	-	1	0	2	0
005ba760	audio	FUN_005ba760	31	2	cdecl	1	int	-	0	low	0	COM/DShow	1	0	0.0	-	1	0	1	0
005ba780	audio	FUN_005ba780	111	5	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	1	0	0
005ba7f0	audio	FUN_005ba7f0	526	3	cdecl	1	int	-	0	low	1	Win32	0	0	0.0	-	1	1	1	0
005baa60	audio	FUN_005baa60	404	1	cdecl	15	int	-	0	low	1	-	0	0	0.0	-	1	0	4	0
005bac00	audio	FUN_005bac00	294	1	cdecl	13	int	-	0	low	0	-	0	0	0.0	-	1	0	3	0
005bad30	audio	LAB_005bad30	459	4	cdecl	9	int	-	0	low	1	DSound+Win32	1	0	0.25	-	1	1	2	0
005bb000	audio	FUN_005bb000	883	9	cdecl	15	int	-	0	low	1	Win32	0	0	0.0	-	1	1	4	0
005bb820	audio	FUN_005bb820	39	1	cdecl	3	int	-	0	low	0	-	0	0	0.0	-	0	0	1	0
005bba60	audio	FUN_005bba60	87	2	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bbac0	audio	FUN_005bbac0	86	2	cdecl	4	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bbb20	audio	FUN_005bbb20	71	2	cdecl	0	int	none	1	low	0	-	0	0	0.0	flag	0	0	3	0
005bbb70	audio	FUN_005bbb70	64	1	cdecl	0	int	none	1	low	0	-	0	0	0.0	ambiguous	0	0	3	0
005bbbb0	audio	FUN_005bbbb0	68	3	cdecl	0	int	none	1	low	0	-	0	0	0.0	-	0	0	4	0
005bbc00	audio	FUN_005bbc00	14	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	1	0
005bbc10	audio	FUN_005bbc10	306	1	cdecl	15	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bbd50	audio	FUN_005bbd50	96	0	cdecl	5	int	-	0	low	1	-	0	0	0.0	-	1	0	0	0
005bbdb0	audio	FUN_005bbdb0	287	1	cdecl	16	int	-	0	low	0	-	0	0	0.0	-	1	0	2	0
005bbed0	audio	FUN_005bbed0	89	0	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	2	0
005bbf30	audio	FUN_005bbf30	45	0	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bbf60	audio	FUN_005bbf60	96	1	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bc020	audio	FUN_005bc020	43	0	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bc050	audio	FUN_005bc050	160	0	cdecl	7	int	-	0	low	1	-	0	0	0.0	-	1	0	0	0
005bc0f0	audio	FUN_005bc0f0	160	0	cdecl	8	int	-	0	low	1	-	0	0	0.0	-	1	0	0	0
005bc190	audio	FUN_005bc190	611	1	cdecl	3	int	-	0	low	1	-	0	0	1.0	-	1	0	16	0
005bc470	audio	FUN_005bc470	458	3	cdecl	18	int	-	0	low	0	COM/DShow	1	0	0.0	-	1	1	15	0
005bc640	audio	FUN_005bc640	74	2	cdecl	1	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bc690	audio	FUN_005bc690	186	1	cdecl	8	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bc750	audio	FUN_005bc750	171	0	cdecl	15	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005bc800	audio	FUN_005bc800	68	3	cdecl	0	int	none	1	low	0	-	0	0	0.0	-	0	0	4	0
005bc850	audio	FUN_005bc850	14	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	1	0
005bc860	audio	FUN_005bc860	28	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	1	0
005bc880	audio	FUN_005bc880	12	1	cdecl	0	void	none	1	low	0	-	0	0	0.0	-	0	0	1	0
005bc890	audio	FUN_005bc890	102	0	cdecl	1	int	int_scalar	1	low	1	COM/DShow	1	0	0.0	-	0	0	2	0
005bc900	audio	FUN_005bc900	28	0	cdecl	1	int	int_scalar	1	low	0	-	0	0	0.0	-	0	0	1	0
005bc920	audio	FUN_005bc920	387	4	cdecl	2	int	int_pair	1	low	0	-	0	0	0.0	-	0	0	4	0
