va	file_off	section	encoding	length	text
0x005cd810	0x1cd810	.rdata	ascii	11	BronzeMedal
0x005cd81c	0x1cd81c	.rdata	ascii	9	TimeTrial
0x005cd828	0x1cd828	.rdata	ascii	5	Arrow
0x005cd844	0x1cd844	.rdata	ascii	11	NFLFugitive
0x005cd850	0x1cd850	.rdata	ascii	7	NFLBomb
0x005cd858	0x1cd858	.rdata	ascii	9	NFLCopter
0x005cd864	0x1cd864	.rdata	ascii	9	NFLShadow
0x005cd870	0x1cd870	.rdata	ascii	7	NFLPink
0x005cd878	0x1cd878	.rdata	ascii	7	NFLGold
0x005cd880	0x1cd880	.rdata	ascii	8	NFLMelon
0x005cd88c	0x1cd88c	.rdata	ascii	10	NFLBluejay
0x005cd898	0x1cd898	.rdata	ascii	6	NFLRed
0x005cd8b0	0x1cd8b0	.rdata	ascii	20	TOTALNUMTRACKS-3=%d

0x005cd8c8	0x1cd8c8	.rdata	ascii	14	silver add=%d

0x005cd916	0x1cd916	.rdata	ascii	16	$B%s%s%s%s%s%s%d
0x005cd92c	0x1cd92c	.rdata	ascii	10	PSOLPEBCYB
0x005cd938	0x1cd938	.rdata	ascii	10	MDXKHDIGNX
0x005cd944	0x1cd944	.rdata	ascii	10	LFDGUYVDEU
0x005cd950	0x1cd950	.rdata	ascii	10	TKGFWNCIKR
0x005cd96e	0x1cd96e	.rdata	ascii	6	`AStar
0x005cd9a0	0x1cd9a0	.rdata	ascii	12	%s%d%s%s%s%s
0x005cd9b6	0x1cd9b6	.rdata	ascii	12	<B%d%s%s%s%s
0x005cda03	0x1cda03	.rdata	ascii	14	=Powerupshadow
0x005cda44	0x1cda44	.rdata	ascii	4	Lock
0x005cda9c	0x1cda9c	.rdata	ascii	13	KTC_NewCopter
0x005cdaac	0x1cdaac	.rdata	ascii	9	SetCopter
0x005cdab8	0x1cdab8	.rdata	ascii	16	RainSetDirection
0x005cdacc	0x1cdacc	.rdata	ascii	18	RainSetCameraScale
0x005cdae0	0x1cdae0	.rdata	ascii	12	RainSetScale
0x005cdaf0	0x1cdaf0	.rdata	ascii	15	RainSetPosition
0x005cdb00	0x1cdb00	.rdata	ascii	17	RainSetTailColour
0x005cdb14	0x1cdb14	.rdata	ascii	17	RainSetHeadColour
0x005cdb28	0x1cdb28	.rdata	ascii	10	RainEnable
0x005cdb34	0x1cdb34	.rdata	ascii	18	Set_Track_Powerups
0x005cdb48	0x1cdb48	.rdata	ascii	13	Place_Powerup
0x005cdb58	0x1cdb58	.rdata	ascii	24	Set_Current_Respawn_Time
0x005cdb74	0x1cdb74	.rdata	ascii	16	Set_Current_Type
0x005cdb88	0x1cdb88	.rdata	ascii	20	Set_Current_Position
0x005cdba0	0x1cdba0	.rdata	ascii	36	Physics_Scenario_Trigger_Set_AI_Poly
0x005cdbc8	0x1cdbc8	.rdata	ascii	29	Physics_Scenario_Get_Function
0x005cdbe8	0x1cdbe8	.rdata	ascii	36	Physics_Scenario_Trigger_Add_Objects
0x005cdc10	0x1cdc10	.rdata	ascii	31	Physics_Scenario_Create_Trigger
0x005cdc30	0x1cdc30	.rdata	ascii	36	Physics_Scenario_Add_Animated_Object
0x005cdc58	0x1cdc58	.rdata	ascii	28	Physics_Scenario_Add_Objects
0x005cdc78	0x1cdc78	.rdata	ascii	29	Physics_Scenario_Set_Sequence
0x005cdc98	0x1cdc98	.rdata	ascii	23	Physics_Scenario_Create
0x005cdcb0	0x1cdcb0	.rdata	ascii	21	RWP_Object_ShatterVel
0x005cdcc8	0x1cdcc8	.rdata	ascii	20	RWP_Object_BaseLabel
0x005cdce0	0x1cdce0	.rdata	ascii	29	RWP_Object_CentreOfMassOffset
0x005cdd00	0x1cdd00	.rdata	ascii	21	RWP_Object_Properties
0x005cdd18	0x1cdd18	.rdata	ascii	18	RWP_Object_Capsule
0x005cdd2c	0x1cdd2c	.rdata	ascii	17	RWP_Object_Sphere
0x005cdd40	0x1cdd40	.rdata	ascii	19	RWP_Object_Cylinder
0x005cdd54	0x1cdd54	.rdata	ascii	14	RWP_Object_Box
0x005cdd64	0x1cdd64	.rdata	ascii	10	RWP_Object
0x005cdd70	0x1cdd70	.rdata	ascii	12	Split_Sector
0x005cdd80	0x1cdd80	.rdata	ascii	16	Safe_Start_Lines
0x005cdd94	0x1cdd94	.rdata	ascii	15	Lap_Line_Change
0x005cdda4	0x1cdda4	.rdata	ascii	12	Lap_Line_End
0x005cddb4	0x1cddb4	.rdata	ascii	8	Lap_Line
0x005cddc0	0x1cddc0	.rdata	ascii	14	Lap_Variations
0x005cddd0	0x1cddd0	.rdata	ascii	12	SetClumpAnim
0x005cdde0	0x1cdde0	.rdata	ascii	26	Vehicle_Wheel_Dirt_Texture
0x005cddfc	0x1cddfc	.rdata	ascii	25	Vehicle_Body_Dirt_Texture
0x005cde18	0x1cde18	.rdata	ascii	12	Shadow_Scale
