file,depth,section_id_hex,size,version,parent_section_id
original/toastaudio/pc/audio/pcdics/arctic.rws,0,0x00000809,2014458,0x1C020018,none
original/toastaudio/pc/audio/pcdics/arctic.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/arctic.rws,1,0x0000080C,2014366,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/cdaudio.rws,0,0x0000080D,8462324,0x1C02000A,none
original/toastaudio/pc/audio/pcdics/cdaudio.rws,1,0x0000080E,2012,0x1C02000A,0x0000080D
original/toastaudio/pc/audio/pcdics/cdaudio.rws,1,0x0000080F,8460288,0x1C02000A,0x0000080D
original/toastaudio/pc/audio/pcdics/city.rws,0,0x00000809,2250656,0x1C020018,none
original/toastaudio/pc/audio/pcdics/city.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/city.rws,1,0x0000080C,2250564,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/dump.rws,0,0x00000809,2081870,0x1C020018,none
original/toastaudio/pc/audio/pcdics/dump.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/dump.rws,1,0x0000080C,2081778,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/egypt.rws,0,0x00000809,999048,0x1C020018,none
original/toastaudio/pc/audio/pcdics/egypt.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/egypt.rws,1,0x0000080C,998956,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/forest.rws,0,0x00000809,2208904,0x1C020018,none
original/toastaudio/pc/audio/pcdics/forest.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/forest.rws,1,0x0000080C,2208812,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/highway.rws,0,0x00000809,1466846,0x1C020018,none
original/toastaudio/pc/audio/pcdics/highway.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/highway.rws,1,0x0000080C,1466754,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/neustein.rws,0,0x00000809,1572906,0x1C020018,none
original/toastaudio/pc/audio/pcdics/neustein.rws,1,0x0000080A,68,0x1C020018,0x00000809
original/toastaudio/pc/audio/pcdics/neustein.rws,1,0x0000080C,1572814,0x1C020018,0x00000809
