pc_va,xbox_va,tier,pc_name,subsystem,confidence,scaffold
0x00430290,0x0019ee90,const,Championship::Complete,save,C4,ambiguous
0x00430760,0x0019bdf0,mnem,IsMultiplayerMode,frontend,C3,ambiguous
0x00430830,0x0019bd00,caller,SplitScreenTrackAssignment,frontend,C3,ambiguous
0x00430910,0x0019bc60,byte-full,MenuOptionSlotGet,frontend,C3,ambiguous
0x004309b0,0x0019bc00,mnem,FrontendModeIndex,frontend,C3,ambiguous
0x00430b60,0x0019ba70,mnem,MenuSlotCount,frontend,C3,flag
0x004314b0,0x0019e100,const,FUN_004314b0,frontend,C2,ambiguous
0x00431710,0x0019dce0,prop-weak,FUN_00431710,frontend,C2,ambiguous
0x00431b80,0x0019b780,mnem,FUN_00431b80,frontend,C2,ambiguous
0x00431d00,0x0019da40,mnem,FUN_00431d00,frontend,C2,ambiguous
0x00431d90,0x0019b5c0,mnem,FrontendPanelFlagAdvance,frontend,C3,ambiguous
0x00431f30,0x0019d8f0,mnem,FrontendPageIdDispatch,frontend,C3,ambiguous
0x00432290,0x0019b510,mnem,FUN_00432290,util,C2,ambiguous
0x00432800,0x001a6d20,const,FUN_00432800,frontend,C2,flag
0x004335f0,0x001ab860,prop-weak,FUN_004335f0,frontend,C2,ambiguous
0x00434720,0x001a16e0,string,FUN_00434720,frontend,C2,flag
0x004368e0,0x001a7f10,string,FUN_004368e0,frontend,C2,ambiguous
0x004391b0,0x001a0300,const,FUN_004391b0,frontend,C2,flag
0x00439210,0x001ae3d0,const,FUN_00439210,frontend,C3,ambiguous
0x0043af10,0x001acf50,const,FUN_0043af10,frontend,C2,flag
0x0043bf30,0x001b2710,byte-prefix,FUN_0043bf30,frontend,C2,ok-asc
0x0043c5b0,0x001b27f0,string,MenuDrawLoop,frontend,C4,ambiguous
0x0043d2a0,0x001ac3f0,prop-weak,FUN_0043d2a0,frontend,C2,ambiguous
0x0043d7c0,0x001afba0,const,FUN_0043d7c0,util,C2,flag
0x0043dfd0,0x001b46f0,const,FUN_0043dfd0,frontend,C2,ambiguous
0x004414b0,0x00192d80,const,FUN_004414b0,camera,C2,ambiguous
0x00442600,0x001952c0,const,CameraPath::InitForTrack,util,C2,ok-asc
0x00442e00,0x00195dd0,const,FUN_00442e00,util,C2,ok-asc
0x00444ff0,0x001974b0,string,FUN_00444ff0,ai,C2,flag
0x00445aa0,0x001967a0,const,FUN_00445aa0,util,C2,flag
0x004464c0,0x00197f50,prop-weak,CameraEntry::DispatchAll,util,C2,ok-asc
0x00446520,0x00198170,const,FUN_00446520,util,C2,ambiguous
0x00448220,0x001a3a10,string,Frontend::PostRaceResultCamera,frontend,C2,ambiguous
0x00448770,0x00190dc0,const,FUN_00448770,render,C2,ambiguous
0x00448880,0x00190ca0,const,FUN_00448880,render,C2,ambiguous
0x00448cb0,0x001909d0,const,FUN_00448cb0,render,C2,ambiguous
0x00448e20,0x001908f0,const,FUN_00448e20,render,C2,ambiguous
0x0044bbc0,0x0018c350,prop-weak,FUN_0044bbc0,render,C2,ambiguous
0x0044bc30,0x0018b030,prop-weak,FUN_0044bc30,render,C2,ambiguous
0x0044bfa0,0x0018c510,const,FUN_0044bfa0,render,C2,ambiguous
