pc_va,xbox_va,size,tier,xbox_in_text,pc_name,subsystem,confidence
0x004b3bf0,0x0008d250,98,prefix,1,FUN_004b3bf0,vehicle,C2
0x004b3c60,0x0008d2c0,82,prefix,1,FUN_004b3c60,render,C2
0x004b3cc0,0x0008d320,82,prefix,1,FUN_004b3cc0,render,C2
0x004b3d20,0x0008d380,82,prefix,1,FUN_004b3d20,render,C2
0x004b3d80,0x0008d3e0,82,prefix,1,FUN_004b3d80,render,C2
0x004b3de0,0x0008d440,82,prefix,1,FUN_004b3de0,render,C2
0x004b3e40,0x0008d4f0,110,full,1,FUN_004b3e40,vehicle,C2
0x004b4050,0x0008d670,29,full,1,FUN_004b4050,render,C2
0x004b40c0,0x0008d6d0,40,full,1,FUN_004b40c0,render,C3
0x004b4130,0x0008d740,16,full,1,FUN_004b4130,render,C2
0x004b4150,0x0008d760,93,full,1,FUN_004b4150,render,C2
0x004b44f0,0x0008daa0,26,full,1,FUN_004b44f0,util,C2
0x004b4650,0x0008dc00,91,full,1,FUN_004b4650,render,C2
0x004b47c0,0x0008dd70,30,full,1,FUN_004b47c0,render,C2
0x004b47e0,0x0008dd90,159,prefix,1,FUN_004b47e0,render,C2
0x004b5080,0x0008e890,260,prefix,1,FUN_004b5080,render,C2
0x004b5190,0x0008e9a0,49,full,1,FUN_004b5190,vehicle,C2
0x004b5240,0x0008ea50,29,full,1,FUN_004b5240,vehicle,C2
0x004b5260,0x0008ea70,87,full,1,FUN_004b5260,render,C2
0x004b52c0,0x0008ead0,35,full,1,FUN_004b52c0,render,C2
0x004b52f0,0x0008eb00,16,full,1,FUN_004b52f0,render,C2
0x004b64e0,0x00090610,58,full,1,FUN_004b64e0,input,C3
0x004b6570,0x00081430,20,full,1,FUN_004b6570,render,C2
0x004b65e0,0x00081480,33,full,1,FUN_004b65e0,render,C3
0x004b7020,0x00081d90,23,full,1,FUN_004b7020,render,C2
0x004b7280,0x00081fd0,173,prefix,1,FUN_004b7280,third-party-library[lua-5.0],C2
0x004b9630,0x000843d0,28,full,1,FUN_004b9630,third-party-library[lua-5.0],C2
0x004ba120,0x00084df0,31,full,1,FUN_004ba120,third-party-library[lua-5.0],C2
0x004c0790,0x00052aa0,29,full,1,FUN_004c0790,third-party-library[renderware],C1
0x004c0ed0,0x0004ff80,31,full,1,FUN_004c0ed0,render,C2
0x004cc770,0x0005a440,28,full,1,FUN_004cc770,render,C2
0x004ccde0,0x0005b080,51,full,1,FUN_004ccde0,util,C2
0x004e42a0,0x0006b170,35,full,1,FUN_004e42a0,third-party-library[renderware],C1
0x004e4300,0x0006b1d0,26,full,1,FUN_004e4300,third-party-library[renderware],C1
0x004e4320,0x0006b1f0,39,full,1,FUN_004e4320,render,C2
0x004e4380,0x0006b250,38,full,1,FUN_004e4380,third-party-library[renderware],C1
0x004e47b0,0x0006b2d0,71,full,1,FUN_004e47b0,third-party-library[renderware],C1
0x004e8910,0x0006f110,35,full,1,FUN_004e8910,third-party-library[renderware],C1
0x004e89e0,0x0006f1f0,44,full,1,FUN_004e89e0,third-party-library[renderware],C1
0x004ee1ce,0x001fc056,124,prefix,0,FUN_004ee1ce,third-party-library[d3dx9-psgp],C2
0x004fc9e0,0x001fc29e,227,prefix,0,FUN_004fc9e0,third-party-library[d3dx9-psgp],C2
0x00515260,0x000231c0,265,prefix,1,FUN_00515260,third-party-library[d3dx9-backward-extension],C2
0x00516bb0,0x00024db0,32,full,1,png_write_data,util,C2
0x005173d0,0x00022830,26,full,1,FUN_005173d0,util,C2
0x00518140,0x000260c0,594,prefix,1,FUN_00518140,util,C2
0x0051c9f0,0x0002a620,32,full,1,FUN_0051c9f0,util,C2
0x0051ca60,0x0002a6c0,35,full,1,FUN_0051ca60,util,C2
0x00520850,0x0002e000,18,full,1,png_destroy_struct,util,C2
0x00522cc0,0x0002f6d0,26,full,1,FUN_00522cc0,util,C2
0x00523140,0x0002fb20,38,full,1,png_crc_read,util,C2
0x00528e00,0x00034a90,19,full,1,zcalloc,util,C2
0x0052bf20,0x00035f30,20,full,1,FUN_0052bf20,util,C2
0x00538a80,0x00079640,19,full,1,FUN_00538a80,third-party-library[renderware],C1
0x00538c80,0x0004b2d0,202,prefix,1,FUN_00538c80,third-party-library[renderware],C1
0x00549580,0x00012a10,29,full,1,FUN_00549580,third-party-library[renderware],C1
0x00549620,0x00012a70,30,full,1,FUN_00549620,third-party-library[renderware],C1
0x00550350,0x000f6cc0,54,full,1,FUN_00550350,third-party-library[renderware],C1
0x00551510,0x000f7d30,50,full,1,FUN_00551510,third-party-library[renderware],C1
0x005524a0,0x00012480,32,full,1,FUN_005524a0,third-party-library[renderware],C1
