rva,symbol,conf,subsystem,file,klass,tests,n_miss,n_extra,ours_b,orig_b,ratio,miss,extra
004971b0,ControllerConfigLoad_j5,C3,input,DInput.cpp,WRAPPER,"resolved-via:?ControllerConfigLoad_Body@@YGHH@Z,?g_FormatContcfgName@@3Q6APADXZA,??_C@_0CJ@MMKKPFPG@Attempting?5to?5load?5controller?5c@",0,0,13,115,-,,
00498910,ConfigFilenameGet,C4,save,SettingsConfig.cpp,CANDIDATE,,3,0,91,50,1.82,"007731ec,007731f0,007731f4",
00498d20,ReadModeFromCombo_j5,C4,save,SettingsDialog.cpp,WRAPPER,resolved-via:?ReadModeFromCombo_Body@@YGHPAUHWND__@@@Z,0,0,13,53,-,,
00498d60,PopulateModeCombo_s2,C4,save,SettingsDialog.cpp,WRAPPER,"resolved-via:?PopulateModeCombo_Body@@YGXPAUHWND__@@@Z,?FormatModeString_Thunk@@YAXPADPAH@Z",0,0,13,219,-,,
00498f60,VideoDialogInit_i3,C4,save,SettingsAndIO.cpp,WRAPPER,resolved-via:?VideoDialogInit_Body@@YGXPAUHWND__@@@Z,0,0,13,516,-,,
00499170,SubsystemSelectionChanged_i3,C4,save,SettingsAndIO.cpp,WRAPPER,resolved-via:?SubsystemSelectionChanged_Body@@YGXPAUHWND__@@@Z,0,0,13,128,-,,
00499740,SetControlTextFromResource_i3,C4,save,SettingsAndIO.cpp,WRAPPER,resolved-via:?SetControlTextFromResource_Body@@YGXPAUHWND__@@I@Z,0,0,16,100,-,,
004a3258,CrtExitCore,C3,boot,CrtStartup.cpp,CANDIDATE,,1,0,214,211,1.01,008ab6cc,
004b65a0,Global7d3e4cGetThunk,C3,vehicle,PromoLoop_round30.cpp,CANDIDATE,,0,1,6,5,1.20,,007d3e4c
004b65c0,Copy4b65c0,C3,render,PromoLoop_sessionB.cpp,CANDIDATE,,0,1,84,25,3.36,,008ad888
004c39b0,RwV3dNormalize,C4,render,RwV3dNormalize.cpp,WRAPPER,"resolved-via:?kSqrtSentinels@RwLutGuard@@3QBUSentinel@1@B,?c@?1??SqrtRoot@RwLutGuard@@YAPBIXZ@4UCache@2@A,?Resolve@RwLutGuard@@YAPBIIAAUCache@1@PBUSentinel@1@I@Z",0,0,437,271,-,,
004c3b30,FastSqrt,C4,util,RwSqrt.cpp,WRAPPER,"resolved-via:?kSqrtSentinels@RwLutGuard@@3QBUSentinel@1@B,?c@?1??SqrtRoot@RwLutGuard@@YAPBIXZ@4UCache@2@A,?Resolve@RwLutGuard@@YAPBIIAAUCache@1@PBUSentinel@1@I@Z",0,0,166,84,-,,
004c3b90,FastInvSqrt,C4,util,RwSqrt.cpp,WRAPPER,"resolved-via:?kInvSqrtSentinels@RwLutGuard@@3QBUSentinel@1@B,?c@?1??InvSqrtRoot@RwLutGuard@@YAPBIXZ@4UCache@2@A,?Resolve@RwLutGuard@@YAPBIIAAUCache@1@PBUSentinel@1@I@Z",0,0,163,87,-,,
004c3bf0,Vec2Length,C4,render,RwV2d.cpp,WRAPPER,"resolved-via:?kSqrtSentinels@RwLutGuard@@3QBUSentinel@1@B,?c@?1??SqrtRoot@RwLutGuard@@YAPBIXZ@4UCache@2@A,?Resolve@RwLutGuard@@YAPBIIAAUCache@1@PBUSentinel@1@I@Z",0,0,219,101,-,,
004c3c60,Vec2Normalize,C4,render,RwV2d.cpp,WRAPPER,"resolved-via:?kSqrtSentinels@RwLutGuard@@3QBUSentinel@1@B,?c@?1??SqrtRoot@RwLutGuard@@YAPBIXZ@4UCache@2@A,?Resolve@RwLutGuard@@YAPBIIAAUCache@1@PBUSentinel@1@I@Z",0,0,394,250,-,,
004c5010,RwMatrixScale,C4,render,RwMatrixScale.cpp,CANDIDATE,,1,0,462,398,1.16,0061811c,
004c8650,rwD3D9RenderStateCacheInvalidate,C3,render,D3D9Helpers_p4.cpp,CANDIDATE,,2,0,94,64,1.47,"007d40c0,007d40c8",
00552c10,FontSys_InitRenderState,C3,hud,FontCtx.cpp,WINDOW,WINDOW,1,1,385,254,1.52,00912bfc,00912700
0055ac00,RwpShapeActiveBitSet,C4,third-party-library[RenderWare-Physics-3.7],RwpIntegrator.cpp,CANDIDATE,,0,1,345,78,4.42,,00771968
0055b800,RwpBodyMatrixRefresh,C4,third-party-library[RenderWare-Physics-3.7],RwpIntegrator.cpp,CANDIDATE,,0,1,754,93,8.11,,00771968
0055dff0,RwpBodyRefreshGate,C4,third-party-library[RenderWare-Physics-3.7],RwpIntegrator.cpp,CANDIDATE,,0,1,491,83,5.92,,00771968
0055e200,RwpSolverContextSet,C4,third-party-library[RenderWare-Physics-3.7],RwpIntegrator.cpp,CANDIDATE,,0,1,240,11,21.82,,00771968
0057c210,RwpBodyTableLookup,C4,third-party-library[RenderWare-Physics-3.7],RwpIntegrator.cpp,CANDIDATE,,0,1,250,14,17.86,,00771968
005acd60,AudioFmtGlobalScan,C3,audio,AudioRws.cpp,WINDOW,WINDOW,0,1,63,50,1.26,,00633698
005ade90,AudioListDrain,C3,audio,AudioRws.cpp,UNROLLED,UNROLLED|WINDOW,0,3,266,50,5.32,,"009146c8,009146d0,009146d8"
005ae030,AudioSubStructCleanup,C3,audio,AudioRws.cpp,CANDIDATE,,0,1,69,24,2.88,,007dda28
005ae650,AudioPoolConstruct,C3,audio,AudioRws.cpp,INDUCTION,INDUCTION|WINDOW,1,1,143,292,0.49,007ddab0,007dda84
005c9770,AudioPcmPackSaturate,C3,audio,AudioLeaves_ab4.cpp,INDUCTION,INDUCTION|WINDOW,1,1,325,310,1.05,007fff00,007fff01
