rva,symbol,name,conf,subsystem,file,verdict,imm,detail
004241b0,GetDat008994c0,GetDat008994c0,C3,frontend,MenuLeaves_s3.cpp,PASS,same,data=1 ours=6B orig=6B
004241c0,TeamBlockOneGet,FUN_004241c0,C4,frontend,FrontendLeaves_ad1.cpp,PASS,DIFF,imm -0xffffffff +-0x1
004248b0,PerCarSnapshotInit,PerCarSnapshotInit,C3,vehicle,SmallLeaves_q4.cpp,FAIL,DIFF,"data -0x8994c0,0x899560,0x899564,0x899568,0x8995b0,0x8995b4 +-; imm -0x138,0x4e0 +0x1,0x4"
00424920,EndOfRoundAccumulator,EndOfRoundAccumulator,C3,frontend,MenuMiscLeaves_t2.cpp,PASS,same,data=64 ours=513B orig=608B
00425ab0,EntryHeaderClear,EntryHeaderClear,C3,render,LowRvaSetters_o2.cpp,PASS,same,data=16 ours=161B orig=88B
00425b10,TimerGlobalZero,PlayerSlotZero,C3,util,TimerInit.cpp,PASS,same,data=8 ours=81B orig=81B
00425b70,SlotFieldSetter,SlotFieldSetter,C3,frontend,BatchAA_s4.cpp,PASS,same,data=2 ours=26B orig=28B
00425ee0,SlotWordPtrGet,SlotWordPtrGet,C3,frontend,GlobalGetters_s4.cpp,FAIL,DIFF,data -0x899294 +-; imm -- +0x1cf67
00425ef0,ActiveSlotCount,ActiveSlotCount,C3,frontend,GlobalGetters_s4.cpp,PASS,DIFF,imm -- +0x0
00426020,GlobalDat00646e58Get,GlobalDat00646e58Get,C3,frontend,GlobalGetters_s4.cpp,PASS,same,data=1 ours=6B orig=6B
00426060,TrackPhysWorld1Get,TrackPhysWorld1Get,C3,render,TrackLoaderMicros_p3.cpp,PASS,same,data=1 ours=6B orig=6B
00426070,TrackPhysWorld2Get,TrackPhysWorld2Get,C3,render,TrackLoaderMicros_p3.cpp,PASS,same,data=1 ours=6B orig=6B
00426080,GlobalDat00656ed8Get,GlobalDat00656ed8Get,C3,frontend,GlobalGetters_s4.cpp,PASS,same,data=1 ours=6B orig=6B
00426090,GlobalDat0066ce58Get,GlobalDat0066ce58Get,C3,frontend,GlobalGetters_s4.cpp,PASS,same,data=1 ours=6B orig=6B
004260a0,GetDat00657438,GetDat00657438,C3,frontend,GlobalGetters_s5.cpp,PASS,same,data=1 ours=6B orig=6B
004260b0,GetDat0065743c,GetDat0065743c,C3,frontend,GlobalGetters_s5.cpp,PASS,same,data=1 ours=6B orig=6B
004260c0,TrackPhysWorld3Get,TrackPhysWorld3Get,C3,render,TrackLoaderMicros_p3.cpp,PASS,same,data=1 ours=6B orig=6B
00426630,PitchParamSet,PitchParamSet,C3,util,TimerSetters.cpp,PASS,same,data=1 ours=10B orig=10B
00426670,WorldRenderDispatch_Begin,WorldRenderDispatch_Begin,C3,render,FrameWorldPasses.cpp,PASS,DIFF,imm -- +0x0
004266b0,WorldRenderDispatch_End,WorldRenderDispatch_End,C3,render,FrameWorldPasses.cpp,PASS,DIFF,imm -- +0x0
004266f0,PitchParam2Set,PitchParam2Set,C3,util,TimerSetters.cpp,PASS,same,data=1 ours=10B orig=10B
00426bb0,Global66d6d8Get,CameraPath::GetCount,C3,camera,PromoLoop_round31.cpp,PASS,same,data=1 ours=6B orig=6B
00426bc0,GetDat0066d6e0,GetDat0066d6e0,C3,frontend,GlobalGetters_s5.cpp,PASS,same,data=1 ours=6B orig=6B
00426bd0,GetTableEntry0066d658,GetTableEntry0066d658,C3,frontend,GlobalGetters_s5.cpp,PASS,same,data=2 ours=35B orig=35B
00426c00,GameStateFlagGet,FUN_00426c00,C3,ai,GameStateCluster.cpp,PASS,same,data=1 ours=6B orig=6B
00426c10,TimerDispatch10,TimerDispatch10,C4,util,UtilBatch.cpp,PASS,same,data=1 ours=34B orig=28B
00426c30,TimerDispatch30,TimerDispatch30,C4,util,UtilBatch.cpp,PASS,same,data=1 ours=25B orig=23B
00426c70,TimerDispatch70,TimerDispatch70,C4,util,UtilBatch.cpp,PASS,same,data=1 ours=25B orig=23B
00426cb0,FrontendSlotTablePtr426cb0,FUN_00426cb0,C3,frontend,FrontendLeaves_ad2.cpp,PASS,same,data=1 ours=11B orig=13B
00426cb0,SlotIndexToPtr,FUN_00426cb0,C3,frontend,MenuNearLeaves_s6.cpp,PASS,same,data=1 ours=11B orig=13B
00426cc0,VehicleTable4cPtrGet,VehicleTable4cPtrGet,C4,vehicle,PromoLoop_round2.cpp,PASS,same,data=1 ours=11B orig=13B
00426cd0,TrackSlotArrayReset,TrackSlotArrayReset,C3,render,TrackLoaderMicros_p3.cpp,FAIL,DIFF,"data -- +0x66d6e8,0x66d6ec,0x66d6f0,0x66d6f4,0x66d6f8; imm -0x6 +-"
00426cf0,GetDat0066d6e4,GetDat0066d6e4,C3,frontend,BatchAA_s1.cpp,PASS,same,data=1 ours=6B orig=6B
00426d00,FrontendArraySlotGet,FrontendArraySlotGet,C3,frontend,BatchAA_s6.cpp,FAIL,same,data -0x663670 +-
00426dc0,FrontendRaycastForward,FrontendRaycastForward,C3,frontend,BatchAA_s1.cpp,PASS,same,data=1 ours=28B orig=29B
00426de0,FrontendFloatGet426de0,FUN_00426de0,C3,frontend,FrontendLeaves_ad2.cpp,PASS,same,data=1 ours=7B orig=7B
00426df0,FrontendFloatGet426df0,FUN_00426df0,C3,frontend,FrontendLeaves_ad2.cpp,PASS,same,data=1 ours=7B orig=7B
00426e00,TrackLoaderFloatGet,TrackLoaderFloatGet,C3,render,TrackLoaderMicros_p3.cpp,PASS,same,data=1 ours=7B orig=7B
004274d0,LangIndexSeedFromCli,LangIndexSeedFromCli,C3,frontend,SkeletonAndScatter_t6.cpp,PASS,same,data=2 ours=16B orig=16B
00427580,FrontendQuadParamInit427580,FUN_00427580,C3,frontend,FrontendLeaves_ad2.cpp,PASS,same,data=6 ours=95B orig=65B
00427780,FontText_StringTableLookup,FontText_StringTableLookup,C4,hud,HudBatch.cpp,PASS,same,data=1 ours=17B orig=17B
004277a0,TextCtrlCodeRemap,TextCtrlCodeRemap,C3,frontend,TextCtrlCodeRemap.cpp,PASS,same,data=0 ours=152B orig=147B
00427840,FontText_UTF16WidenCopy,FontText_UTF16WidenCopy,C4,hud,HudBatch.cpp,FAIL,same,data -0x7d3ff8 +-
00427ad0,MenuMenusBB,MenuMenusBB,C3,frontend,MenuMenusB.cpp,FAIL,DIFF,"data -- +0x66d828,0x66d82a; imm -- +-0x8,0x2,0x6,0x14,0x7f,0x80"
00427c90,GetDat0067d84c,GetDat0067d84c,C3,frontend,BatchAA_s3.cpp,PASS,same,data=1 ours=6B orig=6B
004282a0,MenuMenusBA,MenuMenusBA,C3,frontend,MenuMenusB.cpp,FAIL,DIFF,"data -- +0x66d828,0x66d82a; imm -0x404 +-0x8,0x1,0x2,0x6,0x7f,0x80"
00428320,TextWidthMeasureB,FUN_00428320,C3,frontend,TextMeasure.cpp,PASS,DIFF,"imm -0x404,0x410 +0xc,0x108"
00428390,FrontendStateSet,FrontendStateSet,C3,frontend,SkeletonAndScatter_t6.cpp,PASS,same,data=1 ours=10B orig=10B
00428450,HudSpinCoinAnim,FUN_00428450,C4,hud,TextCluster.cpp,PASS,same,data=2 ours=325B orig=306B
00428610,ViewportScaledRectDraw,ViewportScaledRectDraw,C4,hud,Cluster_v3.cpp,PASS,DIFF,"imm -0x0,0x2c,0x48,0xff +-0x1,0x1,0x2,0x3,0x10,0x1c"
004292c0,UtilWritePtr,sub_004292c0,C3,util,UtilLeaves_ac.cpp,PASS,same,data=0 ours=11B orig=11B
00429300,HudOverlayFloatGet,HudOverlayFloatGet,C3,hud,PromoLoop_round1.cpp,PASS,same,data=1 ours=15B orig=7B
004295a0,HudDualLabelRender,HudDualLabelRender,C4,util,UtilMid.cpp,PASS,DIFF,"imm -0x18,0x20 +0x0,0x14,0x1c,0xff000000,0xff0000ff"
00429820,Clear8991b0Pair,Clear8991b0Pair,C3,hud,PromoLoop_round39.cpp,PASS,same,data=2 ours=21B orig=21B
00429840,RaceStateLatchSet,RaceStateLatchSet,C3,ai,PromoLoop_round9.cpp,PASS,DIFF,imm -- +0x0
00429860,RaceStateFlagGet,RaceStateFlagGet,C3,ai,PromoLoop_round9.cpp,PASS,same,data=1 ours=6B orig=6B
00429870,LapTimeALessThanB,LapTimeALessThanB,C3,frontend,MenuScoreGetters.cpp,PASS,DIFF,"imm -0x1,0x3c,0x41 +0x4,0x1f"
004298c0,MenuQuadGlobalZero,Clear67d99c_x4,C3,frontend,MenuLeaves_af5.cpp,PASS,same,data=4 ours=41B orig=28B
004298c0,Clear67d99c_x4,Clear67d99c_x4,C3,frontend,PromoLoop_round70.cpp,PASS,same,data=4 ours=41B orig=28B
004299d0,TimeRecordWriteTrackBest,TimeRecord::WriteTrackBest,C3,util,TimeRecordWrite_ag.cpp,PASS,same,data=6 ours=80B orig=84B
00429a30,MenuMenusBE,MenuMenusBE,C3,frontend,MenuMenusB.cpp,PASS,same,data=6 ours=53B orig=55B
00429a70,LapFracGetBySlot,LapFracGetBySlot,C3,frontend,MenuScoreGetters.cpp,PASS,same,data=1 ours=12B orig=12B
00429a80,LapLapsGetBySlot,LapLapsGetBySlot,C3,frontend,MenuScoreGetters.cpp,PASS,same,data=1 ours=12B orig=12B
00429a90,LapSecsGetBySlot,LapSecsGetBySlot,C3,frontend,MenuScoreGetters.cpp,PASS,same,data=1 ours=12B orig=12B
00429aa0,GameStateSlotsFill,GameStateSlotsFill,C4,util,UtilMid.cpp,FAIL,same,"data -0x614718,0x61471c +-"
00429b30,Init429b30,FUN_00429b30,C3,frontend,PromoLoop_sessionB.cpp,PASS,same,data=2 ours=68B orig=62B
00429b70,Init429b70,FUN_00429b70,C3,frontend,PromoLoop_sessionB.cpp,PASS,same,data=3 ours=103B orig=92B
