rva,symbol,name,conf,subsystem,file,installed,verdict,imm,detail
004d71f0,RenderState_GetTexturingOverride,FUN_004d71f0,C2,render,RenderStateSettersA.cpp,yes,PASS,same,data=1 ours=6B orig=6B
004f8640,PluginFieldWriteA8,FUN_004f8640,C2,render,PluginFields_ah4.cpp,yes,PASS,same,data=1 ours=18B orig=18B
004f8670,PluginFieldWriteAC,FUN_004f8670,C2,render,PluginFields_ah4.cpp,yes,PASS,same,data=1 ours=18B orig=18B
00546b10,FUN_00546b10,FUN_00546b10,C2,vehicle,RwpSolverMath2.cpp,yes,PASS,DIFF,imm -0x4100 +-
00546bf0,FUN_00546bf0,FUN_00546bf0,C2,third-party-library[renderware],RwpSolverMath2.cpp,yes,PASS,DIFF,imm -- +0x8
00546c50,FUN_00546c50,FUN_00546c50,C2,third-party-library[renderware],RwpSolverMath2.cpp,yes,PASS,DIFF,imm -- +0x8
00546cb0,FUN_00546cb0,FUN_00546cb0,C2,third-party-library[renderware],RwpSolverMath2.cpp,yes,PASS,DIFF,imm -- +0x8
00552b60,FontSys_InitSeq,FontSys_InitSeq,C2,hud,FontCtx.cpp,COMMENTED,PASS,same,data=1 ours=61B orig=45B
00552e40,FontCtx_FlushMatrix,FontCtx_FlushMatrix,C2,hud,FontCtx.cpp,COMMENTED,PASS,DIFF,"imm -0x5,0x18,0x20,0x64,0x74 +0x38,0x68,0xfffffff0"
005554d0,FontText_StringWidthAccumulator,FUN_005554d0,C2,hud,HudBatch.cpp,COMMENTED,SKIP,,symbol absent from obj (mangled/static/inlined)
0055a1f0,FUN_0055a1f0,FUN_0055a1f0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverBroadphase3.cpp,yes,PASS,DIFF,"imm -0x1c,0xffff +-0x4,-0x1"
0055a9a0,FUN_0055a9a0,FUN_0055a9a0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverBroadphase3.cpp,yes,PASS,DIFF,"imm -0x10,0xffff +0x18,0xfffffffe"
0055ab30,FUN_0055ab30,FUN_0055ab30,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverGlue5.cpp,yes,PASS,DIFF,imm -0xffff +-
0055abb0,FUN_0055abb0,FUN_0055abb0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverBroadphase3.cpp,yes,PASS,DIFF,imm -0xffff +-
0055ae50,FUN_0055ae50,FUN_0055ae50,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverBroadphase3.cpp,yes,PASS,DIFF,imm -- +0x8
0055b750,FUN_0055b750,FUN_0055b750,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverBroadphase3.cpp,yes,PASS,DIFF,imm -0xc +-
0055bae0,FUN_0055bae0,FUN_0055bae0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverBroadphase3.cpp,yes,PASS,DIFF,imm -0xc +-
0055bb70,FUN_0055bb70,FUN_0055bb70,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverGlue5.cpp,yes,PASS,DIFF,"imm -0x40 +0x18,0x44"
0055bd70,FUN_0055bd70,FUN_0055bd70,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverBroadphase3.cpp,yes,PASS,same,data=0 ours=14B orig=14B
0055bd80,FUN_0055bd80,FUN_0055bd80,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverGlue5.cpp,yes,PASS,DIFF,imm -0x40 +0x44
0055c0f0,FUN_0055c0f0,FUN_0055c0f0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverBroadphase3.cpp,yes,PASS,DIFF,"imm -0x0,0xc +-"
0055c230,FUN_0055c230,FUN_0055c230,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverGlue5.cpp,yes,PASS,DIFF,imm -0xc +-
0055c2d0,FUN_0055c2d0,FUN_0055c2d0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverBroadphase3.cpp,yes,PASS,DIFF,imm -- +0x14
0055e050,FUN_0055e050,FUN_0055e050,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverGlue5.cpp,yes,PASS,DIFF,"imm -0x14,0x20 +0x1,0x5,0x8,0xc,0x1f,0x24"
0055fe50,FUN_0055fe50,FUN_0055fe50,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore23.cpp,yes,PASS,same,data=0 ours=70B orig=77B
0055fea0,FUN_0055fea0,FUN_0055fea0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore23.cpp,yes,PASS,DIFF,imm -- +0x0
0055ff70,FUN_0055ff70,FUN_0055ff70,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore23.cpp,yes,PASS,DIFF,imm -- +0x0
0055ff90,FUN_0055ff90,FUN_0055ff90,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore23.cpp,yes,PASS,DIFF,"imm -0x14,0xffff +-0x1,0x10"
005601f0,FUN_005601f0,FUN_005601f0,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -0x10 +-
00560260,FUN_00560260,FUN_00560260,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverPartition13.cpp,yes,PASS,DIFF,"imm -0xe,0x24,0x2c,0x38,0x41,0x88 +0x35,0x45,0x54,0xa8,0x128,0x15c"
00561040,FUN_00561040,FUN_00561040,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore23.cpp,yes,PASS,DIFF,imm -0x84 +0x88
00561280,FUN_00561280,FUN_00561280,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore21.cpp,yes,PASS,DIFF,"imm -0x2 +0x14,0xfffffff8"
00561390,FUN_00561390,FUN_00561390,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore23.cpp,yes,PASS,DIFF,"imm -0xa8,0x4100 +0xac,0xfffffff8,0xfffffffc"
00561c50,FUN_00561c50,FUN_00561c50,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore23.cpp,yes,PASS,DIFF,"imm -0x0,0x4100 +0x24"
00561e60,FUN_00561e60,FUN_00561e60,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore23.cpp,yes,PASS,same,data=0 ours=30B orig=31B
00561e80,FUN_00561e80,FUN_00561e80,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverCore23.cpp,yes,PASS,same,data=0 ours=30B orig=31B
00563e70,FUN_00563e70,FUN_00563e70,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -0x3 +0x8
00563f60,FUN_00563f60,FUN_00563f60,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,imm -0xffff +-
00564040,FUN_00564040,FUN_00564040,C2,third-party-library[RenderWare-Physics-3.7],RwpSolverLeaves1.cpp,yes,PASS,DIFF,"imm -0x2,0x3,0xffff +0x0"
