t,fires,px,py,pz,tx,ty,tz,elev,azim,zoom,pairA,pairB,c0x,c0y,c0z,c1x,c1y,c1z,c2x,c2y,c2z,c3x,c3y,c3z
1781117716845,641,-7.052369117736816,9.047730445861816,-16.133371353149414,6.74037504196167,-9.049789428710938,-3.7051124572753906,49.639190673828125,118.79710388183594,7.0242438316345215,0,1,-0.4498184621334076,-0.0014597474364563823,-15.951123237609863,1.284339189529419,-0.0035789257381111383,-24.451879501342773,3.5958971977233887,-7.52316384526264e-37,-23.744258880615234,3.7680978775024414,-1.2885720934718847e-08,-21.310989379882812
1781117716850,642,-6.972966194152832,9.017407417297363,-16.140501022338867,6.745044708251953,-9.019804954528809,-3.70037841796875,49.537872314453125,118.74945831298828,7.001428127288818,0,1,-0.45022037625312805,-0.00237730098888278,-15.980549812316895,1.2868320941925049,-0.0035788400564342737,-24.452329635620117,3.586261749267578,-3.960405771813371e-39,-23.744983673095703,3.7642879486083984,-6.0390448197722435e-09,-21.318553924560547
1781117716856,643,-6.894002914428711,8.988092422485352,-16.147804260253906,6.749220371246338,-8.990827560424805,-3.6953887939453125,49.443084716796875,118.7019271850586,6.977105617523193,0,1,-0.45062169432640076,-0.0032945270650088787,-16.009931564331055,1.2897820472717285,-0.0035789802204817533,-24.452863693237305,3.575599193572998,-2.475253607383357e-41,-23.74579620361328,3.7606987953186035,-4.823959898203611e-09,-21.32529067993164
1781117716861,644,-6.815038681030273,8.956982612609863,-16.154226303100586,6.752854347229004,-8.960053443908691,-3.691194534301758,49.34228515625,118.66154479980469,6.952697277069092,0,1,-0.45102187991142273,-0.004208619240671396,-16.039236068725586,1.293205976486206,-0.0035790293477475643,-24.453481674194336,3.5638580322265625,-3.4752201915255463e-43,-23.746700286865234,3.7573628425598145,-3.845343599095941e-09,-21.33123779296875
1781117716868,645,-6.737497806549072,8.926210403442383,-16.159536361694336,6.757047653198242,-8.929616928100586,-3.6881332397460938,49.23468017578125,118.6265869140625,6.928203582763672,0,1,-0.45142093300819397,-0.005120480433106422,-16.068456649780273,1.2971198558807373,-0.003579807234928012,-24.454187393188477,3.550992965698242,-1.2429797638253992e-40,-23.747703552246094,3.754314422607422,-3.066816134378314e-09,-21.336441040039062
1781117716873,646,-6.660000801086426,8.89419174194336,-16.165616989135742,6.760068416595459,-8.897933006286621,-3.6845569610595703,49.13018798828125,118.59245300292969,6.9021735191345215,0,1,-0.45181897282600403,-0.006029495038092136,-16.097597122192383,1.3015434741973877,-0.0035800880286842585,-24.454984664916992,3.53700590133667,-1.2539379178164193e-40,-23.74880599975586,3.7515878677368164,-2.4410837795585394e-09,-21.340953826904297
1781117716879,647,-6.583934307098389,8.862005233764648,-16.170310974121094,6.763203144073486,-8.866079330444336,-3.6821765899658203,49.024749755859375,118.56573486328125,6.877499580383301,0,1,-0.45221588015556335,-0.006936357822269201,-16.126657485961914,1.306494951248169,-0.0035804312210530043,-24.45587730407715,3.521895408630371,-1.2540500216935653e-40,-23.75000762939453,3.7492146492004395,-1.9444996723905206e-09,-21.34484100341797
1781117716883,648,-6.509343147277832,8.828863143920898,-16.17412757873535,6.766421318054199,-8.833269119262695,-3.6806640625,48.912109375,118.5444107055664,6.852736949920654,0,1,-0.4526117742061615,-0.007840452715754509,-16.155641555786133,1.3119933605194092,-0.0035808137618005276,-24.456865310668945,3.5056605339050293,-1.2540500216935653e-40,-23.751312255859375,3.747316837310791,-1.7407728591933846e-09,-21.34847640991211
1781117716889,649,-6.4347758293151855,8.793497085571289,-16.178077697753906,6.768533229827881,-8.798233985900879,-3.6792736053466797,48.7955322265625,118.52781677246094,6.826419353485107,0,1,-0.4530065357685089,-0.008742435835301876,-16.184545516967773,1.3180568218231201,-0.003581684548407793,-24.45795249938965,3.4882917404174805,-1.2540500216935653e-40,-23.75271987915039,3.745835781097412,-8.731149137020111e-10,-21.351654052734375
1781117716894,650,-6.361245632171631,8.757034301757812,-16.182621002197266,6.769904136657715,-8.762100219726562,-3.677581787109375,48.674896240234375,118.51190185546875,6.800000190734863,0,1,-0.45340028405189514,-0.009641770273447037,-16.213376998901367,1.3247063159942627,-0.0035826219245791435,-24.459142684936523,3.469788074493408,-1.2540500216935653e-40,-23.754230499267578,3.744690418243408,-5.638867150992155e-10,-21.35388946533203
1781117716900,651,-6.289332389831543,8.718567848205566,-16.186067581176758,6.771413326263428,-8.723962783813477,-3.6770496368408203,48.54718017578125,118.50306701660156,6.773478031158447,0,1,-0.4537930190563202,-0.010538417845964432,-16.24213218688965,1.3319644927978516,-0.003583865240216255,-24.46043586730957,3.4501495361328125,-1.2540500216935653e-40,-23.755844116210938,3.743863582611084,-1.90084392670542e-10,-21.354759216308594
1781117716905,652,-6.219065189361572,8.679210662841797,-16.188894271850586,6.772762298583984,-8.684932708740234,-3.6772289276123047,48.415924072265625,118.49945068359375,6.746851444244385,0,1,-0.45418456196784973,-0.011433368548750877,-16.27079963684082,1.339853048324585,-0.003585357451811433,-24.461835861206055,3.429380416870117,-1.2540500216935653e-40,-23.757564544677734,3.7434234619140625,-1.2505552149377763e-11,-21.354843139648438
1781117716911,653,-6.150600433349609,8.638920783996582,-16.19215202331543,6.77365779876709,-8.644968032836914,-3.677267074584961,48.28094482421875,118.49652099609375,6.720118999481201,0,1,-0.4545750319957733,-0.012325205840170383,-16.29939079284668,1.348395824432373,-0.003586572129279375,-24.463346481323242,3.4074816703796387,-1.2540500216935653e-40,-23.759387969970703,3.7433791160583496,-6.372680161348399e-14,-21.354843139648438
1781117716917,654,-6.128693103790283,8.594332695007324,-16.2070255279541,6.773664951324463,-8.600786209106445,-3.6778793334960938,48.135101318359375,118.50049591064453,6.693280220031738,0,2,-0.4549644887447357,-0.013214640319347382,-16.327905654907227,1.3576133251190186,-0.0035886967089027166,-24.464967727661133,3.384453296661377,-1.2540500216935653e-40,-23.76131820678711,3.743712902069092,-1.5612511283791264e-17,-21.354877471923828
1781117716923,655,-6.1232008934021,8.54901123046875,-16.224843978881836,6.774158000946045,-8.555895805358887,-3.6795272827148438,47.9822998046875,118.50951385498047,6.666333198547363,0,2,-0.45535293221473694,-0.01410169992595911,-16.35634422302246,1.3675329685211182,-0.003590655978769064,-24.466699600219727,3.3602967262268066,-1.2540500216935653e-40,-23.763355255126953,3.744420051574707,-1.4743667238145165e-20,-21.354995727539062
1781117716928,656,-6.121865749359131,8.501097679138184,-16.24396514892578,6.773830890655518,-8.508420944213867,-3.681396484375,47.8199462890625,118.52288055419922,6.637771129608154,0,2,-0.4557403028011322,-0.01498675812035799,-16.384706497192383,1.3781788349151611,-0.003592944471165538,-24.468542098999023,3.335000991821289,-1.2540500216935653e-40,-23.765499114990234,3.745518207550049,-3.470281163601374e-24,-21.355182647705078
1781117716935,657,-5.938374042510986,8.378493309020996,-15.755406379699707,6.612447261810303,-8.38625717163086,-4.092402458190918,47.161773681640625,121.75308227539062,6.613622188568115,0,2,-0.45612671971321106,-0.015869006514549255,-16.412996292114258,1.3895745277404785,-0.0035956776700913906,-24.470495223999023,3.3085670471191406,-1.2540500216935653e-40,-23.767749786376953,3.7470216751098633,-2.7547022810317732e-27,-21.355438232421875
1781117716939,658,-5.8815436363220215,8.308272361755371,-15.615198135375977,6.561041355133057,-8.316475868225098,-4.2220916748046875,46.827301025390625,122.76164245605469,6.595452785491943,0,2,-0.45651212334632874,-0.01674884371459484,-16.441213607788086,1.4017465114593506,-0.0035989885218441486,-24.472558975219727,3.283085823059082,-1.2540500216935653e-40,-23.770092010498047,3.748945713043213,-5.5528412156572784e-30,-21.355762481689453
